EXPEDIENTE,DATETIME,CALLE,NUMERO,DISTRITO,TIPOACCIDENTE,TIEMPO,TIPOVEHICULO,VICTIMA,TIPOPERSONA,RANGOEDAD,SEXO,LESIVIDAD
2021S004752,2021-03-25T19:00:00Z,Manzanares Linear Park,0,Puente de Vallecas,Caída,Despejado,Bicicleta,10141,Conductor,De 18 a 20 años,Hombre,1
2021S004775,2021-03-25T14:05:00Z,AVENIDA CERRO MILANO,631,Villa de Vallecas,Colisión fronto-lateral,Despejado,Bicicleta,10142,Conductor,De 50 a 54 años,Hombre,7
2021S004777,2021-03-25T08:18:00Z,Paseo de la Castellana,156,Chamartín,Colisión fronto-lateral,Despejado,Bicicleta,10143,Conductor,De 55 a 59 años,Hombre,7
2021S004858,2021-03-26T23:00:00Z,avenida de los Poblados,0,Latina,Caída,Despejado,Bicicleta,10145,Conductor,De 30 a 34 años,Hombre,7
2021S005003,2021-03-28T15:20:00Z,LUGAR CAÑADA REAL,0,Villa de Vallecas,Caída,Despejado,Bicicleta,10147,Conductor,De 10 a 14 años,Hombre,6
2021S005034,2021-03-29T08:30:00Z,AVENIDA ENTREVIAS,34,Puente de Vallecas,Caída,Despejado,Bicicleta,10148,Conductor,De 55 a 59 años,Mujer,6
2021S005038,2021-03-28T10:45:00Z,Ronda de Atocha,27,Arganzuela,Colisión lateral,Despejado,Bicicleta,10149,Conductor,De 35 a 39 años,Hombre,7
2021S005113,2021-03-30T20:30:00Z,CALLE COMUNEROS DE CASTILLA,4,Carabanchel,Colisión frontal,,Bicicleta,10150,Conductor,De 50 a 54 años,Hombre,
2021S005170,2021-03-30T22:45:00Z,CALLE ANTEQUERA,23,Usera,Caída,Despejado,Bicicleta,10153,Conductor,De 50 a 54 años,Hombre,1
2021S005189,2021-03-31T19:20:00Z,CAÑADA REAL DE MERINAS,64,Vicálvaro,Colisión fronto-lateral,,Bicicleta,10156,Conductor,Desconocido,Desconocido,
2021S005224,2021-03-28T12:47:00Z,CALLE ALBERTO DE PALACIO,0,Hortaleza,Colisión lateral,Despejado,Bicicleta,10157,Conductor,De 35 a 39 años,Hombre,
2021S005303,2021-03-27T13:25:00Z,CALLE FRANCISCO Y JACINTO ALCANTARA,1,Moncloa-Aravaca,Caída,Despejado,Bicicleta,10161,Conductor,De 18 a 20 años,Hombre,7
2021S005406,2021-03-04T19:55:00Z,Paseo de la Ermita del Santo,16,Latina,Caída,Despejado,Bicicleta,10163,Conductor,De 35 a 39 años,Hombre,3
2021S005460,2021-03-04T18:35:00Z,CALLE CASALARREINA,29,Vicálvaro,Caída,Despejado,Bicicleta,10164,Conductor,De 55 a 59 años,Hombre,2
2021S005496,2021-03-04T12:10:00Z,GLORIETA SIETE HERMANAS,0,Moncloa-Aravaca,Atropello a animal,Despejado,Bicicleta,10167,Conductor,De 40 a 44 años,Hombre,2
2021S005556,2021-03-04T16:45:00Z,CALLE SAN ANTONIO DE PADUA,36,Usera,Colisión frontal,Despejado,Bicicleta,10168,Conductor,De 35 a 39 años,Hombre,7
2021S005574,2021-06-04T15:20:00Z,CALLE PUERTO DE REINOSA,15,Villa de Vallecas,Colisión fronto-lateral,Despejado,Bicicleta,10169,Conductor,De 10 a 14 años,Hombre,7
2021S005629,2021-06-04T14:25:00Z,"Avenida de las Fuerzas Armadas, Madrid",402,Barajas,Caída,Despejado,Bicicleta,10170,Conductor,De 45 a 49 años,Hombre,7
2021S005632,2021-06-04T14:50:00Z,CALLE ARGANDA,50,Arganzuela,Caída,Despejado,Bicicleta,10171,Conductor,De 30 a 34 años,Hombre,1
2021S005659,2021-06-04T16:35:00Z,Avenida del Planetario,15,Arganzuela,Caída,Despejado,Bicicleta,10172,Conductor,De 50 a 54 años,Mujer,5
2021S005791,2021-08-04T20:15:00Z,"Calle del Duque de Fernán Núñez, Madrid",19,Chamartín,Caída,Despejado,Bicicleta,10178,Conductor,De 18 a 20 años,Mujer,7
2021S005852,2021-03-20T12:55:00Z,Camino de la Cañada,0,Fuencarral-El Pardo,Colisión fronto-lateral,Despejado,Bicicleta,10179,Conductor,De 10 a 14 años,Mujer,7
2021S005852,2021-03-20T12:55:00Z,Camino de la Cañada,0,Fuencarral-El Pardo,Colisión fronto-lateral,Despejado,Bicicleta,10180,Conductor,De 30 a 34 años,Hombre,6
2021S005943,2021-10-04T12:30:00Z,AVENIDA MIGUEL DELIBES,30,Vicálvaro,Caída,Nublado,Bicicleta,10181,Conductor,De 50 a 54 años,Hombre,1
2021S005954,2021-10-04T22:15:00Z,CARRETERA GARABITAS,0,Moncloa-Aravaca,Caída,LLuvia intensa,Bicicleta,10182,Conductor,Desconocido,Desconocido,
2021S005961,2021-08-04T16:15:00Z,Avenida del Cardenal Herrera Oria,76B,Fuencarral-El Pardo,Colisión fronto-lateral,Despejado,Bicicleta,10183,Conductor,De 50 a 54 años,Hombre,2
2021S006007,2021-12-04T07:37:00Z,"Avenida de la Ciudad de Barcelona, Madrid",93,Retiro,Atropello a persona,Despejado,Bicicleta,10184,Conductor,De 15 a 17 años,Hombre,14
2021S006007,2021-12-04T07:37:00Z,"Avenida de la Ciudad de Barcelona, Madrid",93,Retiro,Atropello a persona,Despejado,Bicicleta,10185,Peatón,De 45 a 49 años,Mujer,1
2021S006010,2021-11-04T17:00:00Z,calle del Príncipe de Vergara,262,Chamartín,Alcance,Despejado,Bicicleta,10186,Conductor,De 35 a 39 años,Hombre,14
2021S006064,2021-12-04T10:25:00Z,CALLE PADRE LLANOS,24,Puente de Vallecas,Colisión fronto-lateral,Despejado,Bicicleta,10188,Conductor,De 40 a 44 años,Hombre,7
2021S006140,2021-04-14T16:45:00Z,CALLE CONVENIO,41,Puente de Vallecas,Alcance,Despejado,Bicicleta,10191,Conductor,De 40 a 44 años,Hombre,7
2021S006181,2021-12-04T10:40:00Z,AVENIDA LOS ROSALES,408,Villaverde,Caída,Despejado,Bicicleta,10192,Conductor,De 65 a 69 años,Hombre,2
2021S006181,2021-12-04T10:40:00Z,AVENIDA LOS ROSALES,408,Villaverde,Caída,Despejado,Bicicleta,10193,Peatón,De 50 a 54 años,Mujer,14
2021S006240,2021-04-15T12:30:00Z,CALLE FINISTERRE,29,Fuencarral-El Pardo,Alcance,Se desconoce,Bicicleta,10194,Conductor,De 21 a 24 años,Hombre,1
2021S006259,2021-04-15T20:30:00Z,PLAZA DUQUE DE PASTRANA,3,Chamartín,Caída,Lluvia débil,Bicicleta,10195,Conductor,De 35 a 39 años,Mujer,1
2021S006574,2021-04-21T12:00:00Z,Madrid Río,+00200E,Moncloa-Aravaca,Caída,Despejado,Bicicleta,10196,Conductor,De 55 a 59 años,Hombre,1
2021S006603,2021-04-21T18:40:00Z,"Avenida de la Ciudad de Barcelona, Madrid",202,Retiro,Atropello a persona,Nublado,Bicicleta,10197,Conductor,De 55 a 59 años,Hombre,14
