tipo_elem,distrito,id,id_cruce,fecha_inst,longitud,latitud
SEMAFORO 2/200 PEATON - BICI,7,37382,247,2017-08-05T00:00:00Z,-3.69963439773651,40.4367610154825
SEMAFORO 2/200 PEATON - BICI,7,21047,280,2017-06-21T00:00:00Z,-3.70244107089099,40.4432447114608
SEMAFORO 2/200 PEATON - BICI,7,27689,188,2017-03-06T00:00:00Z,-3.70198662825251,40.4420874703458
SEMAFORO 2/200 PEATON - BICI,7,27688,188,2017-06-15T00:00:00Z,-3.7019446831408,40.4419831851161
SEMAFORO 3/200 BICI,7,53346,476,1971-11-25T00:00:00Z,-3.69896327010615,40.4352769394525
SEMAFORO 3/200 BICI,7,19041,480,2017-03-25T00:00:00Z,-3.69908350635988,40.4356191890482
SEMAFORO 2/200 PEATON - BICI,8,48297,2029,2007-09-17T00:00:00Z,-3.73854690620043,40.4799847619172
SEMAFORO 2/200 PEATON - BICI,8,46305,1818,2004-02-08T00:00:00Z,-3.66643195219163,40.5108248596198
SEMAFORO 2/200 PEATON - BICI,8,221,1530,1998-08-06T00:00:00Z,-3.68544292750865,40.5049021522051
SEMAFORO 2/200 PEATON - BICI,8,222,1530,1998-08-06T00:00:00Z,-3.68552008731072,40.5049011833551
SEMAFORO 2/200 PEATON - BICI,8,48175,1638,2000-06-28T00:00:00Z,-3.73001469147473,40.4864478287556
SEMAFORO 2/200 PEATON - BICI,8,48176,1638,2000-06-28T00:00:00Z,-3.73002207678375,40.4863234746157
SEMAFORO 2/200 PEATON - BICI,8,44288,1638,2000-06-28T00:00:00Z,-3.73006085542341,40.4867885699356
SEMAFORO 2/200 PEATON - BICI,8,44289,1638,2000-06-28T00:00:00Z,-3.73000492987942,40.4867247517613
SEMAFORO 2/200 PEATON - BICI,8,44316,1640,2000-06-28T00:00:00Z,-3.72303868708182,40.4920764745887
SEMAFORO 2/200 PEATON - BICI,8,44315,1640,2000-06-28T00:00:00Z,-3.72311562260989,40.4921241949071
SEMAFORO 2/200 PEATON - BICI,8,44314,1640,2000-06-28T00:00:00Z,-3.72385386265385,40.491452035045
SEMAFORO 2/200 PEATON - BICI,8,44313,1640,2000-06-28T00:00:00Z,-3.72377554225238,40.4914036491547
SEMAFORO 2/200 PEATON - BICI,8,44312,1640,2000-06-28T00:00:00Z,-3.72322114941676,40.4915092915298
SEMAFORO 2/200 PEATON - BICI,8,44311,1640,2000-06-28T00:00:00Z,-3.72317821536095,40.4915525840521
