num_expediente;fecha;hora;localizacion;numero;distrito;tipo_accidente;estado_meteorológico;tipo_vehiculo;victima;tipo_persona;rango_edad;sexo;lesividad;coordenada_x_utm;coordenada_y_utm;positiva_alcohol;positiva_droga
2021S002498;18/02/2021;19:40:00;GTA. ANTONIO PERPIÑA / AVDA. JUAN ANTONIO SAMARANCH;0;HORTALEZA;Colisión lateral;Despejado;Bicicleta;10060;Conductor;De 35 a 39 años;Hombre;7;447599,22;4481401,91;N;NULL
2021S002541;20/02/2021;13:15:00;PLAZA. EMPERADOR CARLOS V, 8;8;CENTRO;Colisión lateral;Despejado;Bicicleta;10061;Conductor;De 35 a 39 años;Mujer;7;441202,65;4473325,37;N;NULL
2021S002548;20/02/2021;13:15:00;CALL. SANCHIDRIAN, 13A;13A;LATINA;Colisión lateral;Despejado;Bicicleta;10062;Conductor;De 45 a 49 años;Hombre;7;434179,07;4471946,91;N;NULL
2021S002558;20/02/2021;18:10:00;CALL. EMBAJADORES / CALL. SEBASTIAN HERRERA;69;ARGANZUELA;Caída;Despejado;Bicicleta;10063;Conductor;De 25 a 29 años;Hombre;2;440501,44;4472791,73;N;NULL
2021S002603;21/02/2021;13:30:00;CALL. ARROYO FONTARRON, 24;24;MORATALAZ;Caída;Lluvia débil;Bicicleta;10064;Conductor;De 45 a 49 años;Hombre;2;446231,21;4471807,07;N;NULL
2021S002629;22/02/2021;17:00:00;PLAZA. EMPERADOR CARLOS V / CALL. ATOCHA;1;CENTRO;Colisión lateral;Despejado;Bicicleta;10065;Conductor;De 21 a 24 años;Mujer;6;441230,58;4473448,2;N;NULL
2021S002631;16/02/2021;18:00:00;CALL. VALLE DE PINARES LLANOS / CALL. RISCOS DE POLANCO;27;FUENCARRAL-EL PARDO;Caída;Despejado;Bicicleta;10066;Conductor;De 35 a 39 años;Mujer;7;438767,79;4481886,31;N;NULL
2021S002645;22/02/2021;20:40:00;CALL. SAN BERNARDO, 55;55;CENTRO;Atropello a persona;Despejado;Bicicleta;10067;Conductor;De 35 a 39 años;Hombre;14;440001,41;4475261,13;N;NULL
2021S002645;22/02/2021;20:40:00;CALL. SAN BERNARDO, 55;55;CENTRO;Atropello a persona;Despejado;Bicicleta;10068;Peatón;De 70 a 74 años;Hombre;5;440001,41;4475261,13;N;NULL
2021S002714;24/02/2021;15:05:00;CALL. JOSE ORTEGA Y GASSET / CALL. NUÑEZ DE BALBOA;26;SALAMANCA;Alcance;Despejado;Bicicleta;10069;Conductor;De 25 a 29 años;Hombre;NULL;442084,63;4475720,41;N;NULL
