distrito,id,descripcion,fecha_inst,longitud,latitud
10,749,CARAMUEL - POZOBLANCO - P.P.,1977-09-20T00:00:00Z,-3.72781634891114,40.4098485191483
8,1615,RAMON GOMEZ SERNA - JULIO CALVO,2000-01-31T00:00:00Z,-3.72251577714199,40.4824801676131
7,925,GUZMAN EL  BUENO - JOAQUIN MARIA LOPEZ,1979-06-28T00:00:00Z,-3.7129710366932,40.4376509204925
7,461,GUZMAN EL BUENO - DONOSO CORTES,1971-05-10T00:00:00Z,-3.71306281239709,40.4364006019323
7,495,GUZMAN EL BUENO - FERNANDO EL CATOLICO,1972-02-25T00:00:00Z,-3.71322924545607,40.4342602187705
7,641,LUCHANA - MANUEL SILVELA,1974-11-27T00:00:00Z,-3.69946053164902,40.4310710742717
20,2020,ARCAUTE - ARAMAYONA,2007-06-09T00:00:00Z,-3.57815568721612,40.4434982403425
6,970,DR. FEDERICO RUBIO - AV. PABLO IGLESIAS,1980-06-19T00:00:00Z,-3.71189402399238,40.4524708689489
9,1030,DR. FEDERICO RUBIO - FRANCISCO DIEGO,1981-01-10T00:00:00Z,-3.71472007561475,40.4550028290781
9,2010,ISLA OZA - ISLA ALEGRANZA - P.P.,2007-06-26T00:00:00Z,-3.72118523576313,40.4637764177803
3,546,MENENDEZ PELAYO - AMADO NERVO,1973-09-01T00:00:00Z,-3.67691227545527,40.4102849157014
3,545,MENENDEZ PELAYO - CONDE CARTAGENA,1973-09-01T00:00:00Z,-3.67755044874244,40.40940310826
9,931,CTRA. HUMERA  A ARAVACA - RIAZA,1979-11-13T00:00:00Z,-3.78023152888824,40.4564736712456
9,1243,ANA TERESA - PSO. ERMITA,1990-12-20T00:00:00Z,-3.78007551384894,40.4606266100775
2,326,PSO. SANTA MARIA CABEZA - MURCIA,1968-10-26T00:00:00Z,-3.69529390820073,40.4053589265066
6,63,BRAVO MURILLO - LOPE HARO -  SAN GERMAN,1960-01-01T00:00:00Z,-3.7015364065023,40.4574543868935
6,788,POETA JOAN MARAGALL - PEDRO TEIXEIRA,1978-01-01T00:00:00Z,-3.69237722801351,40.4549791640827
6,989,ORENSE - SOR ANGELA CRUZ,1981-06-02T00:00:00Z,-3.69436729985691,40.4593251541102
6,1507,INFANTA MERCEDES - FRANCISCO GERVAS,1997-11-13T00:00:00Z,-3.69588476899775,40.4612309721088
6,362,RAIMUNDO FERNANDEZ - ORENSE,1969-01-07T00:00:00Z,-3.69551459655306,40.4464395792711
7,103,AV. FILIPINAS - VALLEHERMOSO - LUCIO DEL VALLE,1962-04-09T00:00:00Z,-3.70813292097493,40.4407889486284
2,858,MENDEZ ALVARO - PL. AMANECER - REPSOL - P.P.,1978-01-01T00:00:00Z,-3.68424521877136,40.3991188742533
2,522,MENDEZ ALVARO - TORTOSA,1972-01-08T00:00:00Z,-3.69163005430504,40.4059717422542
4,435,DR. ESQUERDO - O'DONNELL,1971-02-24T00:00:00Z,-3.66892735510152,40.4211251594026
8,900,NTRA. SRA. VALVERDE - ISLAS JARVI,1979-07-02T00:00:00Z,-3.68674151055616,40.492508655043
8,2234,MARIA DE MAEZTU - TERESA CLARAMUNT,2018-04-25T00:00:00Z,-3.72577184574458,40.4920088905206
8,2274,AV. HERRERA ORIA - GASCONES,2017-09-26T00:00:00Z,-3.73875150068239,40.477053142048
8,4579,GLORIA FUERTES - MARIA MONTESSORI,2019-11-28T00:00:00Z,-3.73146027407795,40.490593500115
8,4578,GLORIA FUERTES - IRENE CABA ALBA - P.P.,2019-11-28T00:00:00Z,-3.73294341730809,40.4894032325177
8,709,LLANO CASTELLANO - MAURICIO LEGENDRE,1976-09-18T00:00:00Z,-3.68388153736155,40.484990732478
