"tipo_elem";"distrito";"id";"id_cruce";"fecha_inst";"utm_x";"utm_y";"longitud";"latitud"
"SEMAFORO 2/200 PEATON - BICI";16;36131;1906;"2005-10-17 00:00:00";444224.779272371;4483535.82946372;-3.65824421576322;40.5006577926378
"SEMAFORO 2/200 PEATON - BICI";16;36132;1906;"2005-10-17 00:00:00";444221.855538848;4483539.6947602;-3.65827905909676;40.5006924163403
"SEMAFORO 2/200 PEATON - BICI";16;36133;1906;"2005-10-17 00:00:00";444221.485402225;4483555.08291768;-3.65828478216497;40.5008310145216
"SEMAFORO 2/200 PEATON - BICI";16;36177;1932;"2006-03-01 00:00:00";444883.615674024;4482922.76954293;-3.65041594566447;40.4951791008423
"SEMAFORO 2/200 PEATON - BICI";16;36178;1932;"2006-03-01 00:00:00";444888.768612677;4482929.46641211;-3.65035572323533;40.4952397714346
"SEMAFORO 2/200 PEATON - BICI";16;36179;1932;"2006-03-01 00:00:00";444908.313665603;4482796.190992;-3.65011350217513;40.494040464231
"SEMAFORO 2/200 PEATON - BICI";16;36180;1932;"2006-03-01 00:00:00";444901.467153771;4482801.39577898;-3.65019474260035;40.4940868968054
"SEMAFORO 2/200 PEATON - BICI";16;36181;1932;"2006-03-01 00:00:00";444889.915500129;4482802.95091916;-3.65033118575895;40.4941001392501
"SEMAFORO 2/200 PEATON - BICI";16;36182;1932;"2006-03-01 00:00:00";444883.166451307;4482808.19103376;-3.65041127942689;40.4941468963889
"SEMAFORO 2/200 PEATON - BICI";16;36183;1932;"2006-03-01 00:00:00";445011.562870793;4482822.27965107;-3.64889744065777;40.4942823297669
"SEMAFORO 2/200 PEATON - BICI";16;36134;1906;"2005-10-17 00:00:00";444218.971897184;4483558.39776329;-3.65831473601651;40.5008607070925
"SEMAFORO 2/200 PEATON - BICI";16;36135;1906;"2005-10-17 00:00:00";444140.181506786;4483483.7929158;-3.65923796428375;40.5001833345937
"SEMAFORO 2/200 PEATON - BICI";16;36136;1906;"2005-10-17 00:00:00";444143.769160431;4483480.61591613;-3.65919534656642;40.5001549563402
"SEMAFORO 2/200 PEATON - BICI";16;36137;1906;"2005-10-17 00:00:00";444149.623035109;4483464.67702589;-3.65912486021753;40.5000117660776
"SEMAFORO 2/200 PEATON - BICI";16;36138;1906;"2005-10-17 00:00:00";444152.442408743;4483461.629183;-3.65909132041858;40.4999844995721
"SEMAFORO 2/200 PEATON - BICI";16;36139;1906;"2005-10-17 00:00:00";444233.10770205;4483483.14927534;-3.65814129403395;40.500183786846
"SEMAFORO 2/200 PEATON - BICI";16;36140;1906;"2005-10-17 00:00:00";444226.360944519;4483475.00789934;-3.65822019506347;40.5001099924095
"SEMAFORO 2/200 PEATON - BICI";16;36141;1906;"2005-10-17 00:00:00";444212.710308465;4483473.22734741;-3.65838112799192;40.5000930348083
"SEMAFORO 2/200 PEATON - BICI";16;36184;1932;"2006-03-01 00:00:00";445006.059848204;4482816.39418232;-3.64896186494096;40.4942289461858
"SEMAFORO 2/200 PEATON - BICI";16;36142;1906;"2005-10-17 00:00:00";444205.944258778;4483465.1004311;-3.65846025758949;40.5000193691716
"SEMAFORO 2/200 PEATON - BICI";16;36151;1931;"2006-03-01 00:00:00";444526.541498347;4483198.26429601;-3.65465355895226;40.4976370879576
"SEMAFORO 2/200 PEATON - BICI";16;36185;1932;"2006-03-01 00:00:00";445004.42691833;4482803.94205397;-3.64898005254026;40.4941166635837
"SEMAFORO 2/200 PEATON - BICI";16;36186;1932;"2006-03-01 00:00:00";444998.525367545;4482797.79924541;-3.64904915683894;40.4940609353133
"SEMAFORO 2/200 PEATON - BICI";16;36187;1936;"2006-03-08 00:00:00";444260.39242339;4482812.46400563;-3.65776030054235;40.4941437977917
"SEMAFORO 2/200 PEATON - BICI";16;36188;1936;"2006-03-08 00:00:00";444264.021845789;4482809.22389554;-3.65771718887983;40.4941148532076
"SEMAFORO 2/200 PEATON - BICI";16;36189;1936;"2006-03-08 00:00:00";444268.034502481;4482794.28374514;-3.65766852604738;40.4939805352696
"SEMAFORO 2/200 PEATON - BICI";16;36190;1936;"2006-03-08 00:00:00";444271.595729609;4482791.26017416;-3.65762623826602;40.4939535367492
