id_local,desc_distrito_local,desc_barrio_local,direccion,id_direccion,Cod_Postal,coordenada_x_local,id_coordenadas,coordenada_y_local,desc_situacion_local,rotulo,desc_periodo_terraza,desc_situacion_terraza,Superficie_ES,Superficie_RA,desc_ubicacion_terraza,hora_ini_LJ_es,hora_fin_LJ_es,hora_ini_LJ_ra,hora_fin_LJ_ra,hora_ini_VS_es,hora_fin_VS_es,hora_ini_VS_ra,hora_fin_VS_ra,mesas_es,mesas_ra
270355725,CHAMARTIN,PROSPERIDAD,200 CALLE LOPEZ DE HOYOS,200_CALLE_LOPEZ_DE_HOYOS,28002,"443429,59","443429,59-4477766,5","4477766,5",Abierto,CAFETERIA ENXEBRE,Estacional,Abierta,"7,83",,Acera,10:00:00,1:00:00,,,10:00:00,2:30:00,,,4,
270451968,SALAMANCA,GOYA,5 CALLE ANTONIA MERCE,5_CALLE_ANTONIA_MERCE,28009,"442863,58","442863,58-4475060,5","4475060,5",Abierto,BAR CALVIN,Anual,Abierta,"42,48","42,48",Plaza peatonal,8:00:00,1:30:00,8:00:00,0:00:00,8:00:00,1:30:00,8:00:00,0:00:00,12,12
270497098,SALAMANCA,GUINDALERA,78 AVENIDA BRUSELAS,78_AVENIDA_BRUSELAS,28028,"443721,58","443721,58-4477118,49","4477118,49",Abierto,LA CERVEZERIA,Anual,Abierta,"42,76","42,76",Acera,10:00:00,1:00:00,10:00:00,0:00:00,10:00:00,2:30:00,10:00:00,0:00:00,12,12
280018486,ARGANZUELA,ACACIAS,19 CALLE MELILLA,19_CALLE_MELILLA,28005,"439829,59","439829,59-4472544,53","4472544,53",Abierto,RESTAURANTE PIMENTON,Anual,Abierta,"79,38","55,08",Plaza peatonal,10:00:00,1:00:00,10:00:00,0:00:00,10:00:00,2:30:00,10:00:00,0:00:00,25,17
270379037,ARGANZUELA,IMPERIAL,42 PASEO JUAN ANTONIO VALLEJO-NAJERA BOTAS,42_PASEO_JUAN_ANTONIO_VALLEJO-NAJERA_BOTAS,28005,"439441,59","439441,59-4472802,53","4472802,53",Abierto,MONTEPINOS,Anual,Abierta,"65,97","40,11",Acera,8:00:00,1:30:00,8:00:00,1:00:00,8:00:00,1:30:00,8:00:00,1:00:00,18,18
20001082,ARGANZUELA,IMPERIAL,51 PASEO JUAN ANTONIO VALLEJO-NAJERA BOTAS,51_PASEO_JUAN_ANTONIO_VALLEJO-NAJERA_BOTAS,28005,"439385,59","439385,59-4472782,53","4472782,53",Abierto,RODILLA,Anual,Abierta,"35,64","35,64",Acera,10:00:00,1:00:00,10:00:00,0:00:00,10:00:00,2:30:00,10:00:00,0:00:00,11,11
20000721,ARGANZUELA,IMPERIAL,54 PASEO JUAN ANTONIO VALLEJO-NAJERA BOTAS,54_PASEO_JUAN_ANTONIO_VALLEJO-NAJERA_BOTAS,28005,"439312,59","439312,59-4472870,53","4472870,53",Abierto,ARROCERIA IMPERIAL,Anual,Abierta,"27,3","27,3",Acera,10:00:00,1:00:00,10:00:00,0:00:00,10:00:00,2:30:00,10:00:00,0:00:00,15,15
20000359,ARGANZUELA,PALOS-DE-MOGUER,63 CALLE EMBAJADORES,63_CALLE_EMBAJADORES,28012,"440469,59","440469,59-4472846,53","4472846,53",Abierto,LOS CHIQUITOS BAR DE TAPAS,Anual,Abierta,"19,35","19,35",Acera,10:00:00,1:00:00,10:00:00,0:00:00,10:00:00,2:30:00,10:00:00,0:00:00,6,6
270444334,ARGANZUELA,ACACIAS,82 CALLE EMBAJADORES,82_CALLE_EMBAJADORES,28012,"440457,59","440457,59-4472791,53","4472791,53",Abierto,AUTOESCUELA LARA,Anual,Abierta,"25,74","25,74",Acera,10:00:00,1:00:00,10:00:00,0:00:00,10:00:00,2:30:00,10:00:00,0:00:00,7,7
270056880,ARGANZUELA,DELICIAS,153 CALLE EMBAJADORES,153_CALLE_EMBAJADORES,28045,"440952,58","440952,58-4471949,52","4471949,52",Abierto,CERVECERIA GUIMAR CAFETERIA,Anual,Abierta,"31,2","31,2",Acera,10:00:00,1:00:00,10:00:00,0:00:00,10:00:00,2:30:00,10:00:00,0:00:00,10,10
270287197,ARGANZUELA,DELICIAS,15 CALLE FERROCARRIL,15_CALLE_FERROCARRIL,28045,"440966,58","440966,58-4472462,52","4472462,52",Abierto,TABERNA DEL FERROCARRIL,Anual,Abierta,"39,77","39,77",Acera,10:00:00,1:00:00,10:00:00,0:00:00,10:00:00,2:30:00,10:00:00,0:00:00,14,0
285002998,CENTRO,JUSTICIA,1 PLAZA PEDRO ZEROLO,1_PLAZA_PEDRO_ZEROLO,28004,"440630,59","440630,59-4474730,53","4474730,53",Abierto,LA SACRISTIA RESTAURANTE,Anual,Abierta,"38,88","38,88",Plaza con bandas permanentes de circulación rodada,10:00:00,0:00:00,10:00:00,23:00:00,10:00:00,1:30:00,10:00:00,23:00:00,12,12
140000420,MORATALAZ,MARROQUINA,115 AVENIDA MORATALAZ,115_AVENIDA_MORATALAZ,28030,"444784,56","444784,56-4473066,47","4473066,47",Abierto,AZUL Y ORO,Estacional,Abierta,"82,89",,Acera,10:00:00,0:00:00,,,10:00:00,1:00:00,,,11,
270490176,VILLAVERDE,LOS-ANGELES,34 CALLE ARECHAVALETA,34_CALLE_ARECHAVALETA,28041,"440829,54","440829,54-4467051,51","4467051,51",Abierto,BAR MARTINEZ,Anual,Abierta,"8,82","8,82",Acera,8:00:00,1:30:00,8:00:00,1:00:00,8:00:00,1:30:00,8:00:00,1:00:00,3,3
170001705,VILLAVERDE,LOS-ROSALES,8 CALLE MARIA BARRIENTOS,8_CALLE_MARIA_BARRIENTOS,28021,"441723,53","441723,53-4467306,5","4467306,5",Abierto,ENTREAMIGOS,Estacional,Abierta,"97,2",,Acera,8:00:00,1:30:00,,,8:00:00,1:30:00,,,30,
270433849,VILLAVERDE,LOS-ANGELES,15 AVENIDA LA VERBENA DE LA PALOMA,15_AVENIDA_LA_VERBENA_DE_LA_PALOMA,28041,"440906,55","440906,55-4467844,51","4467844,51",Abierto,BAR LA REJA,Estacional,Abierta,"16,2",,Acera,8:00:00,1:30:00,,,8:00:00,1:30:00,,,5,
270308840,VILLAVERDE,BUTARQUE,20 CALLE POTASA,20_CALLE_POTASA,28021,"442217,53","442217,53-4467015,49","4467015,49",Abierto,CAFE HILO'S,Anual,Abierta,"125,66","125,66",Plaza peatonal,8:00:00,1:30:00,8:00:00,1:00:00,8:00:00,1:30:00,8:00:00,1:00:00,8,8
270531125,LATINA,LAS-AGUILAS,2 CALLE GUAREÑA,2_CALLE_GUAREÑA,28044,"434951,62","434951,62-4471220,57","4471220,57",Abierto,IBERICA BY EL ESQUINAZO,Anual,Abierta,"36,9","36,9",Acera,10:00:00,0:00:00,10:00:00,0:00:00,10:00:00,0:30:00,10:00:00,0:00:00,10,0
