ID;Date;Address;Number;District;AccidentType;Weather;Lesividad
e8c9808b6794ea966efb5ad34d896a65;2021-04-04;CALL. ATOCHA;36;CENTRO;Colisión lateral;Despejado;7
6a2a8f406b2cd62314bd98914d166907;2021-04-05;AVDA. ALFONSO XIII;145;CHAMARTÍN;Colisión fronto-lateral;Despejado;7
688a3bef1abd69dac708b5920b32e307;2021-04-06;AVDA. BURGOS;109;FUENCARRAL-EL PARDO;Caída;Despejado;2
76ba47f008ea2025acc0420b7a20546d;2021-04-06;AVDA. PLANETARIO;15;ARGANZUELA;Caída;Despejado;5
7c5749082e6b9cc9fcdb1c3b4a8028ee;2021-04-06;CALL. PUERTO DE REINOSA;15;VILLA DE VALLECAS;Colisión fronto-lateral;Despejado;7
24a42ac23b828369d305f88ffe19d4a2;2021-04-06;CALL. ARGANDA / PASEO. YESERIAS;-;ARGANZUELA;Caída;Despejado;1
0b4eca568515520d7ee86a4f42728867;2021-04-06;AVDA. LAS FUERZAS ARMADAS / AVDA. LAS FUERZAS ARMADAS;-;BARAJAS;Caída;Despejado;7
39bcbfe204a669ef0aae77459ad15154;2021-05-07;CALL. REQUENA;5;CENTRO;Caída;Despejado;
0cbe29a4ea73370c5a97388a8d21a574;2021-04-08;CALL. FERNAN NUÑEZ;19;CHAMARTÍN;Caída;Despejado;7
ea6329cb2d93415ba2e57a608fd1ff59;2021-04-08;AVDA. NICETO ALCALA ZAMORA / AVDA. FRANCISCO PI Y MARGALL;-;HORTALEZA;Colisión lateral;Despejado;6
bb8a49be8c90eaa09d84a5e96e4b339c;2021-04-08;CALL. SANTA ENGRACIA / GTA. PINTOR SOROLLA;-;CHAMBERÍ;Atropello a persona;Despejado;6
2197f9c9804d48bdaabe57b4f15fe010;2021-04-08;CALL. SANTA ENGRACIA / GTA. PINTOR SOROLLA;-;CHAMBERÍ;Atropello a persona;Despejado;14
c0b77ba855067c7bd1f6a2adb4c02b86;2021-04-08;AVDA. CARDENAL HERRERA ORIA;76B;FUENCARRAL-EL PARDO;Colisión fronto-lateral;Despejado;2
888bb354720bcfbfb86f0e71909cb590;2021-04-08;CALL. SAN BERNARDO;46;CENTRO;Caída;Nublado;2
3b5f518f02231089a9208b1272d20528;2021-04-09;AVDA. RAMON Y CAJAL / PLAZA. VIRGEN GUADALUPANA;-;CHAMARTÍN;Colisión fronto-lateral;Nublado;3
