ESTACION,MAGNITUD,ANO,MES,DIA,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
54,7,2021,10,03,00001,00001,00001,00001,00001,00001,00001,00001,00001,00001,00001,00002,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000
54,8,2021,10,03,00020,00014,00011,00005,00004,00004,00004,00007,00007,00007,00010,00012,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000
54,12,2021,10,03,00022,00016,00013,00006,00006,00005,00005,00008,00008,00008,00012,00015,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000
54,14,2021,10,03,56.35,58.65,51.82,43.09,40.47,38.84,39.39,36.44,34.73,31.84,26.04,20.13,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000
55,7,2021,10,03,00002,00001,00001,00001,00001,00001,00001,00001,00001,00002,00003,00004,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000
55,8,2021,10,03,00030,00013,00006,00003,00002,00002,00003,00003,00004,00005,00011,00017,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000
55,10,2021,10,03,00023,00019,00017,00011,00005,00010,00007,00007,00009,00008,00012,00022,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000
55,12,2021,10,03,00033,00015,00008,00004,00004,00004,00004,00004,00006,00007,00015,00024,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000
55,20,2021,10,03,002.1,002.4,001.2,000.9,000.7,000.4,000.4,000.4,000.6,000.4,000.4,001.7,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000
55,30,2021,10,03,000.4,000.4,000.2,000.2,000.4,001.3,001.2,001.6,000.1,000.2,000.7,000.2,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000
55,35,2021,10,03,000.4,000.3,000.3,000.2,000.1,000.1,000.1,000.1,000.1,000.1,000.1,000.1,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000
56,6,2021,10,03,000.1,000.1,000.1,000.1,000.1,000.1,000.1,000.1,000.1,000.1,000.1,000.1,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000
56,7,2021,10,03,00004,00003,00002,00002,00002,00002,00001,00002,00003,00004,00008,00010,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000
56,8,2021,10,03,00027,00015,00011,00006,00007,00006,00006,00007,00007,00011,00018,00020,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000
56,9,2021,10,03,00009,00009,00008,00003,00006,00008,00003,00004,00003,00006,00005,00010,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000
56,10,2021,10,03,00013,00012,00011,00005,00007,00009,00004,00004,00004,00007,00007,00011,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000
56,12,2021,10,03,00034,00019,00015,00009,00010,00009,00008,00010,00011,00017,00030,00036,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000
57,1,2021,10,03,00002,00002,00002,00002,00002,00002,00002,00002,00002,00002,00002,00002,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000
57,7,2021,10,03,00001,00001,00001,00001,00001,00001,00001,00001,00001,00001,00002,00003,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000
57,8,2021,10,03,00018,00012,00010,00008,00006,00005,00005,00006,00006,00007,00011,00014,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000
