PROVINCIA,MUNICIPIO,ESTACION,MAGNITUD,DATE,D01,V01
28,79,11,20,2019-04-01T00:00:00Z,1.1,V
28,79,11,20,2019-05-01T00:00:00Z,0.6,V
28,79,11,20,2019-06-01T00:00:00Z,1.7,V
28,79,11,20,2019-07-01T00:00:00Z,1.0,V
28,79,11,20,2019-08-01T00:00:00Z,0.9,V
28,79,11,20,2019-09-01T00:00:00Z,2.2,V
28,79,11,20,2019-10-01T00:00:00Z,8.8,V
28,79,11,20,2019-11-01T01:00:00Z,0.9,V
28,79,11,20,2019-12-01T01:00:00Z,0.6,V
28,79,11,30,2019-01-01T01:00:00Z,0.9,V
28,79,11,30,2019-02-01T01:00:00Z,0.2,V
28,79,11,30,2019-03-01T01:00:00Z,0.4,V
28,79,11,30,2019-04-01T00:00:00Z,0.3,V
28,79,11,30,2019-05-01T00:00:00Z,0.2,V
28,79,11,30,2019-06-01T00:00:00Z,0.2,V
28,79,11,30,2019-07-01T00:00:00Z,0.5,V
28,79,11,30,2019-08-01T00:00:00Z,0.2,V
28,79,11,30,2019-09-01T00:00:00Z,0.4,V
28,79,11,30,2019-10-01T00:00:00Z,0.6,V
28,79,11,30,2019-11-01T01:00:00Z,0.1,V
28,79,11,30,2019-12-01T01:00:00Z,0.4,V
28,79,11,35,2019-01-01T01:00:00Z,0.4,V
28,79,11,35,2019-02-01T01:00:00Z,0.1,V
28,79,11,35,2019-03-01T01:00:00Z,0.2,V
28,79,11,35,2019-04-01T00:00:00Z,0.2,V
28,79,11,35,2019-05-01T00:00:00Z,0.1,V
28,79,11,35,2019-06-01T00:00:00Z,0.2,V
28,79,11,35,2019-07-01T00:00:00Z,1.6,V
28,79,11,35,2019-08-01T00:00:00Z,0.1,V
28,79,11,35,2019-09-01T00:00:00Z,0.3,V
28,79,11,35,2019-10-01T00:00:00Z,0.5,V
28,79,11,35,2019-11-01T01:00:00Z,0.1,V
28,79,11,35,2019-12-01T01:00:00Z,0.1,V
28,79,16,6,2019-01-01T01:00:00Z,0.6,V
28,79,16,6,2019-02-01T01:00:00Z,0.3,V
28,79,16,6,2019-03-01T01:00:00Z,0.4,V
28,79,16,6,2019-04-01T00:00:00Z,0.3,V
28,79,16,6,2019-05-01T00:00:00Z,0.2,V
28,79,16,6,2019-06-01T00:00:00Z,0.2,V
28,79,16,6,2019-07-01T00:00:00Z,0.2,V
28,79,16,6,2019-08-01T00:00:00Z,0.2,V
28,79,16,6,2019-09-01T00:00:00Z,0.3,V
28,79,16,6,2019-10-01T00:00:00Z,0.3,V
28,79,16,6,2019-11-01T01:00:00Z,0.2,V
28,79,16,6,2019-12-01T01:00:00Z,0.3,V
28,79,16,7,2019-01-01T01:00:00Z,43,V
28,79,16,7,2019-02-01T01:00:00Z,4,V
28,79,16,7,2019-03-01T01:00:00Z,7,V
28,79,16,7,2019-04-01T00:00:00Z,5,V
28,79,16,7,2019-05-01T00:00:00Z,1,V
28,79,16,7,2019-06-01T00:00:00Z,2,V
28,79,16,7,2019-07-01T00:00:00Z,3,V
28,79,16,7,2019-08-01T00:00:00Z,1,V
28,79,16,7,2019-09-01T00:00:00Z,8,V
28,79,16,7,2019-10-01T00:00:00Z,22,V
28,79,16,7,2019-11-01T01:00:00Z,3,V
28,79,16,7,2019-12-01T01:00:00Z,3,V
28,79,16,8,2019-01-01T01:00:00Z,58,V
28,79,16,8,2019-02-01T01:00:00Z,25,V
28,79,16,8,2019-03-01T01:00:00Z,49,V
28,79,16,8,2019-04-01T00:00:00Z,39,V
28,79,16,8,2019-05-01T00:00:00Z,16,V
28,79,16,8,2019-06-01T00:00:00Z,33,V
28,79,16,8,2019-07-01T00:00:00Z,30,V
28,79,16,8,2019-08-01T00:00:00Z,17,V
28,79,16,8,2019-09-01T00:00:00Z,41,V
28,79,16,8,2019-10-01T00:00:00Z,52,V
28,79,16,8,2019-11-01T01:00:00Z,17,V
28,79,16,8,2019-12-01T01:00:00Z,26,V
28,79,16,12,2019-01-01T01:00:00Z,123,V
28,79,16,12,2019-02-01T01:00:00Z,31,V
28,79,16,12,2019-03-01T01:00:00Z,59,V
28,79,16,12,2019-04-01T00:00:00Z,47,V
28,79,16,12,2019-05-01T00:00:00Z,18,V
28,79,16,12,2019-06-01T00:00:00Z,35,V
28,79,16,12,2019-07-01T00:00:00Z,34,V
28,79,16,12,2019-08-01T00:00:00Z,19,V
28,79,16,12,2019-09-01T00:00:00Z,53,V
28,79,16,12,2019-10-01T00:00:00Z,85,V
28,79,16,12,2019-11-01T01:00:00Z,21,V
28,79,16,12,2019-12-01T01:00:00Z,31,V
28,79,16,14,2019-01-01T01:00:00Z,17,V
28,79,16,14,2019-02-01T01:00:00Z,44,V
28,79,16,14,2019-03-01T01:00:00Z,31,V
28,79,16,14,2019-04-01T00:00:00Z,29,V
28,79,16,14,2019-05-01T00:00:00Z,40,V
28,79,16,14,2019-06-01T00:00:00Z,46,V
28,79,16,14,2019-07-01T00:00:00Z,48,V
28,79,16,14,2019-08-01T00:00:00Z,49,V
28,79,16,14,2019-09-01T00:00:00Z,25,V
28,79,16,14,2019-10-01T00:00:00Z,18,V
28,79,16,14,2019-11-01T01:00:00Z,17,V
28,79,16,14,2019-12-01T01:00:00Z,38,V
