Ward_ID,Ward_Name,Same_As_Wikidata_Ward,District_Name,Same_As_Wikidata_District,District_ID,Shape_Leng,Shape_Area
27,San Diego,https://wikidata.org/entity/Q11946851,Puente de Vallecas,https://wikidata.org/entity/Q2003054,13,"4726,309806","1069868,7"
23,Palomeras Bajas,https://wikidata.org/entity/Q10343902,Puente de Vallecas,https://wikidata.org/entity/Q2003054,13,"5649,533593","1723868,314"
22,Palomeras Sureste,https://wikidata.org/entity/Q10343901,Puente de Vallecas,https://wikidata.org/entity/Q2003054,13,"7823,249151","3108597,48"
28,Portazgo,https://wikidata.org/entity/Q18005921,Puente de Vallecas,https://wikidata.org/entity/Q2003054,13,"4834,744499","1245260,691"
38,Numancia,https://wikidata.org/entity/Q10338144,Puente de Vallecas,https://wikidata.org/entity/Q2003054,13,"5364,460225","1849069,192"
34,Pavones,https://wikidata.org/entity/Q71760,Moratalaz,https://wikidata.org/entity/Q2076109,14,"4120,649108","1009652,016"
48,Horcajo,https://wikidata.org/entity/Q10293641,Moratalaz,https://wikidata.org/entity/Q2076109,14,"3896,493256","745946,3219"
51,Marroquina,https://wikidata.org/entity/Q11935636,Moratalaz,https://wikidata.org/entity/Q2076109,14,"6747,795677","1790050,431"
54,Media Legua,https://wikidata.org/entity/Q9031035,Moratalaz,https://wikidata.org/entity/Q2076109,14,"4676,05777","998967,7103"
43,Fontarrón,https://wikidata.org/entity/Q10283284,Moratalaz,https://wikidata.org/entity/Q2076109,14,"6220,556474","964573,8875"
46,Vinateros,https://wikidata.org/entity/Q10391533,Moratalaz,https://wikidata.org/entity/Q2076109,14,"3721,671378","593977,2816"
68,Ventas,https://wikidata.org/entity/Q71762,Ciudad Lineal,https://wikidata.org/entity/Q1763694,15,"8207,619728","3198035,685"
72,Pueblo Nuevo,https://wikidata.org/entity/Q71753,Ciudad Lineal,https://wikidata.org/entity/Q1763694,15,"7746,682999","2319216,423"
78,Quintana,https://wikidata.org/entity/Q71810,Ciudad Lineal,https://wikidata.org/entity/Q1763694,15,"4438,48928","723117,3281"
81,Concepción,https://wikidata.org/entity/Q11915156,Ciudad Lineal,https://wikidata.org/entity/Q1763694,15,"5775,727302","885910,7502"
84,San Pascual,https://wikidata.org/entity/Q165612,Ciudad Lineal,https://wikidata.org/entity/Q1763694,15,"4456,051268","1052724,597"
93,San Juan Bautista,https://wikidata.org/entity/Q165609,Ciudad Lineal,https://wikidata.org/entity/Q1763694,15,"4012,350954","1010844,475"
99,Colina,https://wikidata.org/entity/Q18475981,Ciudad Lineal,https://wikidata.org/entity/Q1763694,15,"3175,567913","559698,965"
104,Atalaya,https://wikidata.org/entity/Q14193114,Ciudad Lineal,https://wikidata.org/entity/Q1763694,15,"2240,850863","248882,7483"
118,Costillares,https://wikidata.org/entity/Q331385,Ciudad Lineal,https://wikidata.org/entity/Q1763694,15,"5635,575423","1427246,848"
95,Palomas,https://wikidata.org/entity/Q390460,Hortaleza,https://wikidata.org/entity/Q1928529,16,"4994,629147","1129769,724"
98,La Piovera,https://wikidata.org/entity/Q5964851,Hortaleza,https://wikidata.org/entity/Q1928529,16,"7833,911636","3139649,512"
106,Canillas,https://wikidata.org/entity/Q9694341,Hortaleza,https://wikidata.org/entity/Q1928529,16,"7568,376733","2522508,915"
115,Pinar del Rey,https://wikidata.org/entity/Q10349788,Hortaleza,https://wikidata.org/entity/Q1928529,16,"8208,5887","2664766,715"
116,Apóstol Santiago,https://wikidata.org/entity/Q11906303,Hortaleza,https://wikidata.org/entity/Q1928529,16,"4724,24833","1205069,875"
125,Valdefuentes,https://wikidata.org/entity/Q10388714,Hortaleza,https://wikidata.org/entity/Q1928529,16,"18862,91957","16757996,81"
5,"Villaverde Alto, Casco Histórico de Villaverde",https://wikidata.org/entity/Q390435,Villaverde,https://wikidata.org/entity/Q919536,17,"13726,6605","9253553,841"
1,San Cristóbal,https://wikidata.org/entity/Q390457,Villaverde,https://wikidata.org/entity/Q919536,17,"4752,827446","1082492,472"
2,Butarque,https://wikidata.org/entity/Q390453,Villaverde,https://wikidata.org/entity/Q919536,17,"12641,91686","6375521,776"
4,Los Rosales,https://wikidata.org/entity/Q10319807,Villaverde,https://wikidata.org/entity/Q919536,17,"5470,262628","1540746,761"
3,Los Ángeles,https://wikidata.org/entity/Q390462,Villaverde,https://wikidata.org/entity/Q919536,17,"5703,998815","1935271,49"
11,Casco Histórico de Vallecas,https://wikidata.org/entity/Q16544370,Villa de Vallecas,https://wikidata.org/entity/Q1947988,18,"39357,26884","43045886,11"
18,Santa Eugenia,https://wikidata.org/entity/Q390463,Villa de Vallecas,https://wikidata.org/entity/Q1947988,18,"6793,019649","2080233,339"
7,Ensanche de Vallecas,https://wikidata.org/entity/Q3847485,Villa de Vallecas,https://wikidata.org/entity/Q1947988,18,"14866,71359","6341118,962"
