Bus_ID,BusStation_Name,Street_Type,Preposition,Street_Name,Number_Type,Portal_Number,Postal_Code,District,X,Y,Bus_Lines
2574,NTRA.SRA.VALVANERA-LAGUNA,Avda,de,Nuestra Señora de Valvanera,N,120,28047,10,437216,4471877,"55, 119"
2575,LUCANO-FENELON,Calle,de,Lucano,N,38,28022,20,448331,4476706,"48, 140, N5"
2576,BAMBU-AV.PIO XII,Calle,del,Bambú,N,4,28036,5,442702,4480822,"129, 150, 174"
2577,AVDA. BURGOS Nº93,Avda,de,Burgos,N,93,28050,8,443355,4483017,"173, 174, 176"
2578,COSTA BRAVA-VALLE FUENFRIA,Calle,de la,Costa Brava,N,12,28034,8,440192,4483492,"134, 178"
2579,NTRA.SRA.VALVANERA-LAGUNA,Avda,de,Nuestra Señora de Valvanera,N,181,28047,10,437100,4471965,"55, 119"
2580,FERMIN CABALLERO-ISLA DE AROSA,Calle,de,Fermín Caballero,N,19,28035,8,439382,4481529,"67, 127, N21"
2581,GUECHO-GOBELAS,Calle,de,Guecho,N,3,28023,9,430788,4480561,162
2582,AMOREBIETA-AV.NTRA.SRA.DE BEGOÑA,Calle,de,Amorebieta,N,25,28023,9,431423,4480323,162
2583,CALLE DE JAVIER DE MIGUEL,Calle,de,Javier de Miguel,N,63,28018,13,444262,4471103,310
2584,ATOCHA-LEON,Calle,de,Atocha,N,53,28012,1,440702,4474037,"6, 26, 32, N26"
2585,MELENDEZ VALDES-PRINCESA,Calle,de,Meléndez Valdés,N,72,28015,9,439236,4476285,"82, 132"
2586,AV.PUERTA DE HIERRO-AGRONOMOS,Avda,de,Puerta de Hierro,N,3,28040,9,438197,4477238,"83, 133, 162"
2587,OFELIA NIETO-VILLAAMIL,Calle,de,Ofelia Nieto,N,64,28039,6,440031,4479443,"44, 128"
2588,AV.BUCARAMANGA-BOYACA,Avda,de,Bucaramanga,S/N,S/N,28033,16,446080,4480587,"72, 87"
2589,ARROYO POZUELO-MENTA,Calle,del,Arroyo de Pozuelo,N,31,28023,9,434598,4478369,"160, N28"
2590,ARROYO POZUELO-OLIVINO,Calle,del,Arroyo de Pozuelo,N,63,28023,9,434300,4478486,160
2591,Pº ARTILLEROS-VILLACARLOS,Paseo,de los,Artilleros,N,31,28032,19,448435,4473201,100
2592,BAHIA POLLENSA-BAHIA GANDO,Calle,de,Bahía de Pollensa,N,9,28042,21,449792,4479796,151
2593,FCO.SILVELA-J.ORTEGA Y GASSET,Calle,de,Francisco Silvela,N,11,28028,4,443265,4475870,48
2594,AV.BETANZOS-Pº DE LA VAGUADA,Avda,de,Betanzos,N,67,28029,8,439698,4481390,83
2595,PEDRO RICO-ARZOBISPO MORCILLO,Calle,de,Pedro Rico,N,41,28029,8,440811,4481857,"83, 132"
2596,MONFORTE DE LEMOS-JUNTA MUNICIPAL,Avda,de,Monforte de Lemos,N,115,28029,8,440030,4481327,"49, 83, 128, 132, 137, N22"
2597,CTRA.CASTILLA-VIA DOS CASTILLAS,Ctra,de,Castilla,N,17,28040,9,435474,4478118,"160, 161"
2598,PZA.DEL PUEBLO,Plaza,del,Pueblo,N,2,28041,12,440609,4469106,"78, 116, N15"
2599,MARCELO USERA-RAFAELA YBARRA,Calle,de,Marcelo Usera,N,148,28026,12,439647,4470964,"47, 60, 81, 247"
2600,AV.ABRANTES-ALFONSO MARTINEZ CONDE,Avda,de,Abrantes,N,68,28025,11,438145,4470359,"47, 108"
2601,BELZUNEGUI-REAL MADRID,Calle,de,Belzunegui,N,20,28025,11,437359,4469974,"47, 118, N16"
2602,AV.ABRANTES-Cº VIEJO LEGANES,Avda,de,Abrantes,N,155,28025,11,437853,4470024,118
2603,AV.STA.EUGENIA-PUENTELARRA,Avda,de,Santa Eugenia,S/N,S/N,28031,18,448680,4470855,58
2604,JUAN ESPLANDIU,Calle,de,Juan Esplandiu,N,22,28007,3,443828,4474429,215
2605,AV.AMERICA-CORAZON DE MARIA,Avda,de,América,N,41,28002,5,443278,4477057,"114, 115, 122"
2606,BEATRIZ DE BOBADILLA-JUAN MONTALVO,Calle,de,Beatriz de Bobadilla,N,2,28040,9,439583,4477756,"C2, F"
2607,PROFESOR ARANGUREN-FILOSOFIA Y LETRAS,Calle,del,Profesor Aranguren,N,5,28040,9,437846,4477993,"F, G"
2608,AV.JACA-AV.AMERICA,Avda,de,Jaca,N,14,28022,20,448274,4478000,140
2609,NICOLAS SALMERON Nº13,Calle,de,Nicolás Salmerón,N,4,28017,15,446475,4474834,"106, N7"
2610,NICOLAS SALMERON-PAREDES DE NAVA,Calle,de,Nicolás Salmerón,N,8,28017,15,446814,4474587,"106, N7"
2611,Pº CASTELLANOS-MARIA ODIAGA,Paseo,de los,Castellanos,N,51,28025,11,436930,4469873,108
2612,ALBA TORMES-FEDERICO GRASES,Calle,de,Alba de Tormes,N,49,28025,11,436848,4469965,108
