FDIA;FEST;FSEN;HOR1;HOR2;HOR3;HOR4;HOR5;HOR6;HOR7;HOR8;HOR9;HOR10;HOR11;HOR12
01/05/2021;ES48;2-;58;26;19;40;31;108;148;237;306;437;584;700
01/05/2021;ES48;2=;746;617;391;406;447;551;464;486;418;486;357;99
01/05/2021;ES49;1-;38;19;18;23;29;59;139;230;331;458;637;767
01/05/2021;ES49;1=;850;786;397;460;588;660;691;682;561;649;399;86
01/05/2021;ES49;2-;66;25;26;36;32;30;50;68;85;125;250;360
01/05/2021;ES49;2=;406;405;328;241;229;330;365;355;330;244;183;171
01/05/2021;ES50;1-;102;45;25;25;38;25;24;56;65;135;159;204
01/05/2021;ES50;1=;249;287;293;221;171;254;229;270;264;243;259;286
01/05/2021;ES50;2-;89;44;30;53;35;31;44;64;84;157;208;271
01/05/2021;ES50;2=;310;351;361;236;187;222;265;262;286;212;180;229
01/05/2021;ES51;1-;57;45;46;47;30;26;45;93;117;161;271;308
01/05/2021;ES51;1=;359;431;381;259;195;253;287;333;344;293;210;243
01/05/2021;ES51;2-;43;26;27;24;20;22;36;50;93;133;214;271
01/05/2021;ES51;2=;304;361;369;189;174;209;217;241;268;198;180;156
01/05/2021;ES52;1-;70;38;42;27;28;31;50;65;88;172;256;425
01/05/2021;ES52;1=;517;533;470;289;236;362;419;452;409;357;287;281
01/05/2021;ES52;2-;38;30;56;19;23;20;53;54;71;101;185;267
01/05/2021;ES52;2=;336;378;330;183;119;172;240;216;255;213;218;195
01/05/2021;ES53;1-;96;31;5;26;14;22;30;60;128;23;210;289
01/05/2021;ES53;1=;301;340;319;302;269;282;325;313;231;262;248;218
01/05/2021;ES53;2-;120;70;5;43;35;42;80;141;233;47;385;459
01/05/2021;ES53;2=;496;494;467;441;397;445;465;441;438;426;408;277
01/05/2021;ES54;1-;58;17;2;22;13;18;35;77;118;25;192;257
01/05/2021;ES54;1=;290;264;241;239;195;236;241;203;216;192;197;144
01/05/2021;ES54;2-;129;45;3;22;18;27;33;59;91;31;203;268
01/05/2021;ES54;2=;297;337;347;259;264;272;272;310;288;304;317;269
01/05/2021;ES55;1-;57;14;0;14;6;16;24;39;95;16;169;207
01/05/2021;ES55;1=;229;257;256;163;166;155;201;194;192;171;205;151
01/05/2021;ES55;2-;38;27;0;12;12;13;21;55;74;26;159;197
01/05/2021;ES55;2=;214;222;199;164;123;162;181;181;197;129;179;96
01/05/2021;ES56;1-;15;9;9;8;15;33;60;66;108;160;189;200
01/05/2021;ES56;1=;206;167;92;121;136;148;145;135;118;110;103;48
01/05/2021;ES56;2-;29;26;24;9;14;37;70;88;125;193;301;337
01/05/2021;ES56;2=;392;287;267;242;211;225;278;185;180;222;178;44
01/05/2021;ES57;1-;11;14;7;8;20;49;71;142;248;389;511;594
01/05/2021;ES57;1=;516;440;298;333;459;420;417;448;394;514;233;35
01/05/2021;ES57;2-;11;9;9;13;20;40;69;121;195;339;404;570
01/05/2021;ES57;2=;609;455;296;271;465;470;520;453;356;312;153;29
01/05/2021;ES58;1-;14;8;8;14;20;53;82;95;169;275;333;443
01/05/2021;ES58;1=;442;305;200;224;278;275;271;251;196;183;113;27
01/05/2021;ES58;2-;3;8;2;8;7;28;32;94;152;186;240;322
01/05/2021;ES58;2=;298;244;137;114;152;176;201;231;170;174;113;18
01/05/2021;ES59;1-;22;10;10;9;18;34;50;83;128;200;239;270
01/05/2021;ES59;1=;294;219;144;152;188;201;201;192;154;209;150;50
01/05/2021;ES59;2-;12;8;8;11;15;35;59;67;113;171;216;224
01/05/2021;ES59;2=;224;169;131;115;149;143;144;97;118;128;73;24
01/05/2021;ES60;1-;20;17;10;7;20;44;76;134;266;391;420;472
01/05/2021;ES60;1=;507;354;236;249;291;379;346;324;282;224;197;27
01/05/2021;ES60;2-;28;19;11;7;20;37;59;108;231;335;449;505
01/05/2021;ES60;2=;538;462;316;310;366;415;428;422;362;380;251;72
02/05/2021;ES01;1-;67;33;31;31;54;130;124;153;132;245;423;619
02/05/2021;ES01;1=;811;738;501;830;1121;1058;1045;1140;1106;1062;701;100
02/05/2021;ES01;2-;82;61;43;30;38;116;120;179;367;554;807;1101
02/05/2021;ES01;2=;1239;1135;790;866;1183;1213;1230;1113;747;644;577;132
02/05/2021;ES02;1-;385;109;90;77;69;63;85;127;187;270;379;536
02/05/2021;ES02;1=;623;705;727;612;583;668;704;737;611;576;567;513
02/05/2021;ES02;2-;0;0;0;0;0;0;0;0;0;0;0;0
02/05/2021;ES02;2=;0;0;0;0;0;0;0;0;0;0;0;0
02/05/2021;ES03;1-;221;103;73;83;42;69;153;300;352;476;766;1207
02/05/2021;ES03;1=;1456;1599;1677;938;733;1035;1137;1165;1091;974;769;464
02/05/2021;ES03;2-;193;70;53;59;56;56;71;142;230;278;481;661
02/05/2021;ES03;2=;880;1105;1148;855;643;780;817;756;821;719;665;457
02/05/2021;ES04;1-;159;79;71;69;47;47;74;136;171;249;364;578
02/05/2021;ES04;1=;798;1014;960;586;435;737;852;921;881;733;565;424
02/05/2021;ES04;2-;103;46;35;37;25;23;61;86;115;168;308;410
02/05/2021;ES04;2=;510;677;701;344;276;437;437;389;423;400;379;261
02/05/2021;ES05;1-;1131;354;246;170;134;152;264;377;447;755;1096;1416
02/05/2021;ES05;1=;1734;2008;2167;1825;1600;2090;2116;2046;1972;1934;2089;1874
02/05/2021;ES05;2-;255;129;105;92;78;133;328;347;407;636;896;1281
02/05/2021;ES05;2=;1425;1779;1867;1014;1029;1433;1711;1703;1526;1101;875;633
02/05/2021;ES06;1-;0;0;0;0;0;0;0;0;0;0;0;0
02/05/2021;ES06;1=;0;0;0;0;0;0;0;0;0;0;0;0
02/05/2021;ES06;2-;34;22;21;8;22;45;71;121;191;368;444;546
02/05/2021;ES06;2=;649;509;288;311;455;459;443;396;357;312;182;61
02/05/2021;ES07;1-;425;215;142;96;96;132;625;1364;1529;1522;1616;2001
02/05/2021;ES07;1=;2263;2439;3054;2765;2299;2901;3316;2655;2367;1902;1560;1044
02/05/2021;ES07;2-;312;189;85;63;135;432;1940;2350;2093;1980;1913;1995
02/05/2021;ES07;2=;2081;2205;2177;1760;1855;2068;2160;1974;1701;1324;912;689
02/05/2021;ES08;1-;425;165;117;106;111;102;171;193;232;337;427;559
02/05/2021;ES08;1=;687;730;729;665;684;817;747;766;741;725;640;565
02/05/2021;ES08;2-;464;185;142;116;128;113;178;197;231;331;428;573
02/05/2021;ES08;2=;714;799;853;781;725;820;842;879;876;825;802;645
02/05/2021;ES09;1-;457;238;203;155;136;138;161;211;309;466;594;756
02/05/2021;ES09;1=;927;751;635;738;781;831;790;872;829;724;747;712
02/05/2021;ES09;2-;0;0;0;0;0;0;0;0;0;0;0;0
