Underground_ID,Underground_Name,Street_Type,Preposition,Street_Name,Number_Type,Portal_Number,Postal_Code,District_ID,X,Y
188,PLAZA DE CASTILLA,Paseo,de la,Castellana,N,189,28046,5,441688,4480016
189,VILLAVERDE BAJO CRUCE,Avda,de,Andalucía,N,38,28021,17,441289,4467142
190,CHAMARTIN,Calle,de,Agustín de Foxá,N,40,28036,5,442247,4480589
191,BEGOÑA,Paseo,de la,Castellana,N,261,28046,8,441978,4481514
192,MARQUES DE LA VALDAVIA,Calle,del,Marqués de la Valdavia,BLQ,21,28100,1,446134,4488211
193,BAUNATAL,Avda,de las,Lomas del Rey,N,2,,1,446336,4489697
194,MIRASIERRA,Avda,del,Ventisquero de la Condesa,N,28,28035,8,439402,4482720
195,SAINZ DE BARANDA,Calle,del,Doctor Esquerdo,N,103,28007,3,443307,4474246
196,SAINZ DE BARANDA,Calle,del,Doctor Esquerdo,N,103,28007,3,443307,4474250
197,ASCAO,Calle,de,Ascao,N,29,28017,15,445734,4475912
198,PIRAMIDES,Paseo,del,Doctor Vallejo Nágera,N,37,28005,2,439744,4472894
199,LEGANES CENTRAL,Calle,,Virgen del Camino,N,1,28913,1,434568,4464765
200,ALCORCON CENTRAL,Avda,de,Móstoles,N,12,28922,1,429473,4467154
201,EL CASAR,Avda,del,Casar,N,2,28903,2,439799,4463572
202,GOYA,Calle,de,Goya,N,68,28001,4,442693,4475336
203,PRINCIPE DE VERGARA,Calle,del,Príncipe de Vergara,N,12,28001,4,442405,4475268
204,GREGORIO MARAÑON,Calle,de,Miguel Ángel,N,29,28010,7,441481,4476758
205,ARGANZUELA-PLANETARIO,Calle,del,Bronce,N,1,28045,2,441666,4471824
206,CARABANCHEL ALTO,Avda,de,Carabanchel Alto,N,40,28054,11,436276,4469526
207,AVENIDA DE GUADALAJARA,Avda,de,Guadalajara,N,110,28032,20,448187,4475028
208,LAS ROSAS,Paseo,de,Ginebra,N,35,28022,20,448931,4475173
209,LA PESETA,Calle,de,Salvador Allende,N,3,28054,11,435845,4468666
210,LUCERO,Calle,de las,Higueras,N,47,28011,10,436865,4473195
211,LACOMA,Calle,de,Riscos de Polanco,N,3,28035,8,438829,4482050
212,AVDA. DE LA ILUSTRACION,Calle,de las,Islas Cíes,N,23,28035,8,439218,4481501
213,VALDEZARZA,Calle,de,San Restituto,N,70,28039,9,439410,4479804
214,COLOMBIA,Calle,del,Príncipe de Vergara,N,258,28016,5,442722,4478836
215,DIEGO DE LEON,Calle,de,Juan Bravo,N,58,28006,4,442919,4476172
216,MONCLOA,Plaza,de la,Moncloa,N,1,28008,9,439089,4476498
217,MANOTERAS,Calle,de,Bacares,N,24,28033,16,443920,4481106
218,CONGOSTO,Calle,del,Congosto,N,48,28031,18,447573,4469481
219,BARAJAS,Cmno,,Viejo de Hortaleza,N,10,28042,21,450732,4480936
220,PACIFICO,Calle,de,Andalucía,N,2,28007,3,442928,4472810
221,HOSPITAL SEVERO OCHOA,Avda,,Orellana,N,3,28914,1,434864,4463962
222,PUERTA DEL SUR,Avda,de,Leganés,N,52,28924,2,431106,4466622
223,REYES CATOLICOS,Avda,de la,Plaza de Toros,N,7,28701,1,447326,4489241
224,MANUEL DE FALLA,Calle,,Manuel de Falla,N,59,28100,1,445338,4489267
225,LA GRANJA,Calle,de,Sepúlveda,N,1,28108,1,444327,4486734
226,HOSPITAL INFANTA SOFIA,Paseo,,Europa,N,11,28702,1,448344,4490276
227,REPUBLICA ARGENTINA,Calle,de,Joaquín Costa,N,24,28002,5,442098,4477448
228,NUEVOS MINISTERIOS,Paseo,de la,Castellana,N,65,28046,6,441392,4477760
229,CHAMARTIN,Calle,de,Agustín de Foxá,N,40,28036,5,442247,4480581
230,VICALVARO,Calle,de,San Cipriano,N,11,28032,19,448445,4473008
231,COSLADA CENTRAL,Calle,del,Doctor Fleming,N,41,28821,1,452504,4475148
232,BARRIO DE LA CONCEPCION,Calle,de,Martínez Villergas,N,1,28027,15,444813,4476906
233,ANTON MARTIN,Calle,de,Atocha,N,50,28012,1,440772,4473981
234,ALONSO CANO,Calle,de,José Abascal,N,18,28010,7,440805,4476857
235,FRANCOS RODRIGUEZ,Avda,de,Pablo Iglesias,N,87,28039,9,439707,4478875
236,ANTONIO MACHADO,Calle,de,Valderrodrigo,N,55,28039,9,439269,4480404
237,ARGANDA DEL REY,Paseo,de la,Estación,N,37,28500,1,462079,4461766
238,BARRIO DEL PILAR,Calle,de,Ginzo de Limia,N,22,28029,8,440507,4481134
239,CUATRO VIENTOS,Col,,Militar de Cuatro Vientos,N,6,28024,10,432919,4470188
240,CONCHA ESPINA,Calle,del,Príncipe de Vergara,N,210,28002,5,442671,4478293
241,VENTILLA,Avda,de,Asturias,N,39,28029,6,441118,4480302
242,DUQUE DE PASTRANA,Calle,de,Mateo Inurria,N,41,28036,5,442533,4480090
243,MAR DE CRISTAL,Gta,de,Mar de Cristal,N,1,28033,16,445997,4480260
244,ARGÜELLES,Calle,de,Alberto Aguilera,N,72,28015,7,439381,4476005
245,HOSPITAL DEL HENARES,Cmno,del,Tiro,N,S/N,28822,2,454761,4474454
246,ARGÜELLES,Calle,de,Alberto Aguilera,N,72,28015,1,439381,4475997
247,CALLAO,Plaza,del,Callao,N,3,28013,1,440245,4474836
248,PARQUE DE LAS AVENIDAS,Avda,de,Bruselas,N,56,28028,4,443883,4476952
249,CHUECA,Plaza,de,Chueca,N,7,28004,1,440930,4475141
250,TRIBUNAL,Calle,de la,Palma,N,5,28004,1,440554,4475484
251,LA RAMBLA,Calle,,Honduras,N,2,28823,2,453630,4475298
252,BARRIO DEL PUERTO,Avda,de,España,N,8,28821,1,451824,4475015
253,SAN FERNANDO,Calle,de,Gonzalo de Córdoba,N,24,28830,1,454691,4475210
254,HENARES,Avda,de,Algorta,N,12,28830,1,455385,4474468
255,CRUZ DEL RAYO,Calle,del,Príncipe de Vergara,N,138,28002,5,442594,4477497
256,MENENDEZ PELAYO,Avda,de la,Ciudad de Barcelona,N,23,28007,3,442325,4473079
257,CIUDAD DE LOS ANGELES,Avda,de,Andalucía,N,38,28041,17,441213,4468107
258,SAN CRISTOBAL,Avda,de,Andalucía,N,81,28021,17,441235,4466104
259,SAN BERNARDO,Gta,de,Ruiz Jiménez,N,5,28015,7,440252,4475894
260,BILBAO,Calle,de,Sagasta,N,5,28004,7,440636,4475801
261,ALONSO MARTINEZ,Calle,de,Almagro,N,4,28010,7,441155,4475734
262,EMBAJADORES,Gta,de,Embajadores,N,10,28012,1,440485,4473168
263,MONCLOA,Paseo,de,Moret,N,1,28008,9,439089,4476492
264,ALUCHE,Calle,de,Valmojado,N,293,28047,10,435534,4471045
265,ACACIAS,Paseo,de las,Acacias,N,20,28005,2,440147,4473032
266,LEGAZPI,Plaza,de,Legazpi,N,2,28045,2,441120,4471613
267,LEGAZPI,Plaza,de,Legazpi,N,2,28045,2,441114,4471612
268,MENDEZ ALVARO,Calle,del,Ombu,N,16,28045,2,442559,4472070
269,OPORTO,Gta,del,Valle de Oro,N,13,28019,11,438039,4471339
270,OPORTO,Gta,del,Valle de Oro,N,2,28019,11,438044,4471339
271,SERRANO,Calle,de,Goya,N,19,28001,4,441864,4475412
272,DIEGO DE LEON,Calle,de,Diego de León,N,69,28028,4,442862,4476430
273,MONTECARMELO,Avda,de,Monasterio de Silos,N,63,28049,8,441160,4484278
274,ALFONSO XIII,Calle,de,López de Hoyos,N,190,28002,5,443471,4477932
275,AVENIDA DE LA PAZ,Avda,de,Ramón y Cajal,N,107,28043,15,444046,4478515
276,ESPERANZA,Calle,de,Andorra,N,51,28043,16,445354,4479161
277,MAR DE CRISTAL,Gta,del,Mar de Cristal,N,1,28033,16,445997,4480264
278,SAN LORENZO,Avda,de la,Barranquilla,N,9,28033,16,445895,4480825
279,CANILLEJAS,Calle,de,Alcalá,N,631,28022,20,448539,4478026
280,TORRE ARIAS,Calle,de,Alcalá,N,557,28027,20,447785,4477401
281,SUANZES,Calle,de,Alcalá,N,527,28037,20,446948,4477085
282,QUINTANA,Calle,de la,Virgen del Sagrario,N,2,28027,15,445202,4476291
283,EL CARMEN,Calle,de,Raquel Méller,N,2,28027,15,444334,4476110
284,NUÑEZ DE BALBOA,Calle,de,Juan Bravo,N,20,28006,4,442214,4476225
285,RUBEN DARIO,Paseo,de,Eduardo Dato,N,33,28010,7,441624,4476271
286,BILBAO,Calle,de,Sagasta,N,2,28004,7,440548,4475824
287,MARQUES DE VADILLO,Gta,del,Marqués de Vadillo,N,4,28019,11,439351,4472315
288,URGEL,Calle,del,Camino Viejo de Leganés,N,1,28019,11,438698,4471876
289,VISTA ALEGRE,Calle,de la,Oca,N,74,28025,11,437318,4471387
