IdBiciMad,numPlaces,longitude,latitude,PostalAddress
183,24,-3.6694506,40.4256358, CALLE  DE HERMOSILLA  135
184,24,-3.6653095,40.4260023, PASEO  DEL MARQUES DE ZAFRA  24
185,24,-3.661533,40.4250682, GLORIETA  DEL MARQUES DE ZAFRA  frente 4
186,24,-3.6782783,40.429069, CALLE  DEL GENERAL PARDIÑAS  56
187,24,-3.6638407,40.4301353, CALLE  DE ALEJANDRO GONZALEZ  1
188,27,-3.6589062,40.4311658, AVENIDA  DE DAROCA  2
189,24,-3.6555431,40.4350206, CALLE  DE LA VIRGEN DE LA ALEGRIA  18
190,24,-3.6834711,40.4343761, CALLE  DE VELAZQUEZ  91
191,18,-3.6740365,40.4346168, CALLE  DE ALONSO HEREDIA  1
192,27,-3.6714315,40.431855, AVENIDA  DE LOS TOREROS  3
193,24,-3.665644,40.4325204, AVENIDA  DE LOS TOREROS  47
194,24,-3.6771947,40.4371986, CALLE  DE FRANCISCO SILVELA  86
195,24,-3.6754913,40.4392483, CALLE  DEL PADRE INDALECIO HERNANDEZ  1
196,24,-3.6750918,40.4440957, CALLE  DE SUERO DE QUIÑONES  2
197,24,-3.6780252,40.4515501, AVENIDA  DE CONCHA ESPINA  S/N
198,24,-3.6915713,40.4331172, GLORIETA  DE RUBEN DARIO  2
199,27,-3.7148406,40.4343244, CALLE  DE FERNANDO EL CATOLICO  61
200,24,-3.704671,40.4336617, GLORIETA  DE QUEVEDO  frente 4
201,24,-3.7038161,40.4387323, CALLE  DE JOSE ABASCAL  frente al 2
202,24,-3.7080969,40.4411686, CALLE  DE SANTANDER  S/N
203,24,-3.7144239,40.4417547, CALLE  DEL GENERAL AMPUDIA  2
204,24,-3.7041702,40.4476606, CALLE  DEL DOCTOR SANTERO  1
205,24,-3.7033408,40.4535024, CALLE  DE NAVARRA  1
206,24,-3.6990499,40.4607994, CALLE  DEL MARQUES DE VIANA  5
207,18,-3.6973991,40.4630291, CALLE  DE LAS AZUCENAS  1
208,24,-3.6886852,40.4665125, PASEO  DE LA CASTELLANA  S/N
209,24,-3.6887875,40.4656872, PLAZA  DE CASTILLA  9
210,27,-3.702631,40.4197538, CALLE  DE LAS TRES CRUCES  9
211,24,-3.7025369,40.4206168, CALLE  DEL DESENGAÑO  3
212,24,-3.7165313,40.3981605, GLORIETA  DEL MARQUES DE VADILLO  9
213,24,-3.7001575,40.3889363, CALLE  DE ANTONIO LOPEZ  129
214,24,-3.6569597,40.4434012, CALLE  DE LA CONDESA DE VENADITO  2
215,24,-3.6409697,40.4296903, CALLE  DE GUTIERRE DE CETINA  77
216,24,-3.7288948,40.4140528, PLAZA  DE LA PUERTA DEL ANGEL  3
217,24,-3.6891094,40.4810028, CALLE  DE PEDRO RICO  frente al 4
218,24,-3.6573999,40.4105519, CALLE  DEL CAMINO DE LOS VINATEROS  28
219,24,-3.6467783,40.4083961, CALLE  DEL CAMINO DE LOS VINATEROS  108
220,24,-3.6514264,40.4061548, CALLE  DEL ARROYO DE LAS PILILLAS  frente al 4
221,24,-3.6346859,40.4004579, CALLE  DE LA HACIENDA DE PAVONES  346
222,24,-3.7026887,40.3917816, CALLE  DE EUGENIO CAXES  5
223,24,-3.7245226,40.4064341, PASEO  DE LA ERMITA DEL SANTO  48
224,24,-3.7288262,40.408882, CALLE  DE CARAMUEL  frente al 52
225,24,-3.6601933,40.4026388, CALLE  DE LA SIERRA TOLEDANA  33
226,24,-3.6606789,40.3991986, CAMINO  DE VALDERRIBAS  94
227,24,-3.6661421,40.3940355, CALLE  DEL ARROYO DEL OLIVAR  4
228,24,-3.7080437,40.3943842, CALLE  DE SAN DELFIN  9
229,24,-3.6486507,40.4370782, CALLE  DE JOSE DEL HIERRO  5
230,24,-3.6491034,40.4436986, CALLE  DE CARLOTA O'NEILL  32
231,24,-3.6558172,40.439748, CALLE  DE LOS DERECHOS HUMANOS  14
232,24,-3.6485701,40.4328362, CALLE  DE JOSE MARIA PEREDA  1
233,24,-3.655633,40.4229144, AVENIDA  DEL MARQUES DE CORBERA  12
234,24,-3.651125,40.426163, AVENIDA  DEL MARQUES DE CORBERA  52
235,24,-3.6911834,40.3889853, CALLE  DEL SODIO  1 B
236,24,-3.7171449,40.4074236, PASEO IMPERIAL  20
237,24,-3.7105146,40.451395, CALLE  DE FRANCISCO BALSEIRO  S/N
238,24,-3.6932474,40.4562183, CALLE  DE SAN GERMÁN  5
239,24,-3.7079276,40.4567345, CALLE  DE FRANCOS RODRIGUEZ  62
240,24,-3.6609886,40.4367138, AVENIDA  DE BRASILIA  frente al 9
241,24,-3.6677796,40.4377568, AVENIDA  DE CAMILO JOSE CELA  23
242,24,-3.6629058,40.4394662, AVENIDA  DE BRUSELAS  56
243,24,-3.6700894,40.4351648, CALLE  DE CARTAGENA  38
244,24,-3.7175468,40.4398513, CALLE  DE ISAAC PERAL  44
245,24,-3.7101726,40.4364656, CALLE  DE GALILEO  63
246,24,-3.699252,40.436026, CALLE  DE SANTA ENGRACIA  87
247,24,-3.692843,40.4383672, CALLE  DE ZURBANO  90
