hasIdBycicleParking,description,state,installDate,PostalAddress
217460,"SITUADO APARCABICICLETAS, IES DAMASO ALONSO",OPERATIVO,,CALLE ALFREDO MARQUERIE
217575,"SITUADO APARCABICICLETAS, BIBLIOTECA PUBLICA RAFAEL ALBERTI",OPERATIVO,,CALLE SANGENJO
217666,"SITUADO APARCABICICLETAS, CERCANIAS RAMON Y CAJAL",OPERATIVO,,CALLE FRANCISCO SANCHA
217909,"SITUADO APARCABICICLETAS, POLIGONO INDUSTRIAL DE FUENCARRAL",OPERATIVO,,CALLE LABASTIDA
218442,"SITUADO APARCABICICLETAS, CENTRO CULTURAL ALFREDO KRAUS",OPERATIVO,,GLORIETA PRADERA DE VAQUERIZAS
218669,"SITUADO APARCABICICLETAS, COLEGIO MIRASIERRA",OPERATIVO,,CALLE LA MASO
219187,"SITUADO APARCABICICLETAS, ANILLO VERDE CICLISTA (PARQUE ARROYO FRESNO)",OPERATIVO,,CALLE SENDA DEL INFANTE
220887,"SITUADO APARCABICICLETAS, COLEGIO EDUCACION ESPECIAL FRANCISCO DEL POZO",OPERATIVO,,CALLEJON DOMINE
221789,"SITUADO APARCABICICLETAS, ARROYOFRESNO M-612 ACCESO M-40",OPERATIVO,,CALLE LEONOR LOPEZ DE CORDOBA
222575,"SITUADO APARCABICICLETAS, COLEGIO PUBLICO VASCO NUÑEZ DE BALBOA",OPERATIVO,,CALLE NUESTRA SEÐORA DE VALVERDE
222596,"SITUADO APARCABICICLETAS, INSTALACION DEPORTIVA MUNICIPAL BASICA MONTECARMELO",OPERATIVO,,CALLE MONASTERIO DE EL PAULAR
223050,"SITUADO APARCABICICLETAS, INSTALACION DEPORTIVA BASICA TRES OLIVOS",OPERATIVO,,CALLE ROCINANTE
223230,"SITUADO APARCABICICLETAS, ANILLO VERDE CICLISTA (AVDA STO DOMINGO DE LA CALZADA 1)",OPERATIVO,,AVENIDA SANTO DOMINGO DE LA CALZADA
223251,"SITUADO APARCABICICLETAS, ANILLO VERDE CICLISTA (AVDA STO DOMINGO DE LA CALZADA 1)",OPERATIVO,,AVENIDA SANTO DOMINGO DE LA CALZADA
223280,"SITUADO APARCABICICLETAS, ANILLO VERDE CICLISTA (AVDA STO DOMINGO DE LA CALZADA 1)",OPERATIVO,,AVENIDA SANTO DOMINGO DE LA CALZADA
223286,"SITUADO APARCABICICLETAS, ANILLO VERDE CICLISTA (C/ PALAS DEL REY 4)",OPERATIVO,,CALLE PALAS DE REY
223776,"SITUADO APARCABICICLETAS, ANILLO VERDE CICLISTA (AVDA MONASTERIO DEL ESCORIAL 3)",OPERATIVO,,AVENIDA MONASTERIO DE EL ESCORIAL
224147,"SITUADO APARCABICICLETAS, ANILLO VERDE CICLISTA (C/ NTRA SRA DE VALVERDE 225)",OPERATIVO,,"Calle de Nuestra Señora de Valverde, Madrid"
