centro_codigo,centro_nombre,centro_tipo_descripcion,centro_titularidad,direccion_via_tipo,direccion_via_nombre,direccion_numero,direccion_codigo_postal,municipio_codigo,municipio_nombre,url_colegio,direccion_coor_x,direccion_coor_y
28023807,ASUNCION DE NTRA. SRA.,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,PÚBLICO,CALLE,Tahona,12,28223,115,Pozuelo de Alarcón,http://www.educa.madrid.org/cp.asuncion.pozuelodealarcon,430784,4476625
28023819,RETAMAR,CENTRO PRIVADO DE EDUCACIÓN PRIMARIA Y SECUNDARIA,PRIVADO CONCERTADO,CALLE,Pajares,22,28223,115,Pozuelo de Alarcón,retamar.com,431848,4475505
28023832,SAN JOSE DE CLUNY,"CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA",PRIVADO CONCERTADO,AVDA,Juan XXIII,7,28224,115,Pozuelo de Alarcón,http://www.clunypozuelo.es,431662,4477754
28023844,HOGAR DEL BUEN CONSEJO,"CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA",PRIVADO CONCERTADO,PASEO,Concepción,12,28224,115,Pozuelo de Alarcón,http://www.buen-consejo.com,431880,4478081
28023868,SAN LUIS DE LOS FRANCESES,"CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA",PRIVADO,CALLE,de Portugalete,1,28223,115,Pozuelo de Alarcón,,431187,4476511
28023881,DIVINO MAESTRO,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,PÚBLICO,CALLE,Cirilo Palomo,11,28223,115,Pozuelo de Alarcón,http://www.educa.madrid.org/cp.divinomaestro.pozuelodealarcon,431288,4476193
28023893,GIL GAYARRE,CENTRO PRIVADO DE EDUCACIÓN ESPECIAL,PRIVADO CONCERTADO,CTRA,Majadahonda,k. 2,28223,115,Pozuelo de Alarcón,http://www.educa.madrid.org/cc.gayarre.pozuelodealarcon,429264,4476498
28023911,GERARDO DIEGO,INSTITUTO DE EDUCACIÓN SECUNDARIA,PÚBLICO,CALLE,Irlanda,s/n,28224,115,Pozuelo de Alarcón,http://www.educa.madrid.org/ies.gerardodiego.pozuelodealarcon,433232,4477228
28023923,SAN JOSE OBRERO,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,PÚBLICO,CALLE,San José Obrero,21,28223,115,Pozuelo de Alarcón,http://www.educa.madrid.org/cp.sanjoseobrero.pozuelodealarcon,432492,4477294
28023935,INSTITUTO VERITAS,"CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA",PRIVADO CONCERTADO,AVDA,Radio y Televisión,2,28223,115,Pozuelo de Alarcón,http://www.educa.madrid.org/cc.veritas.pozuelodealarcon,432935,4474131
28023947,ESCUELAS PIAS DE SAN FERNANDO,"CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA",PRIVADO CONCERTADO,AVDA,Bularas,1,28224,115,Pozuelo de Alarcón,http://www.escolapiospozuelo.es/,431176,4477665
28023984,EVEREST,"CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA",PRIVADO,AVDA,de Monteclaro,s/n,28223,115,Pozuelo de Alarcón,http://www.everestschool.es/,428168,4477108
28023996,LICEO SOROLLA C,"CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA",PRIVADO,AVDA,Bularas,4,28224,115,Pozuelo de Alarcón,http://colegioliceosorolla.es,431100,4477703
