ID,Lugar,MINTDISTRI,NOMBRE_DIS,MINTBARRIO,NOMBRE_BAR,ESTADO,INSTALLDAT,Direccion,"MINTNUMERO,C,25","MINTNDP,C,20","MODELO,C,254"
170099, JUNTO A JARDIN DE GLORIA FUERTES,5,CHAMARTIN,55,NUEVA ESPAÑA,OPERATIVO,,AVENIDA DE  JUNTO A JARDIN DE GLORIA FUERTES,180,31013778,
170181, EMBAJADA DE COSTA RICA,5,CHAMARTIN,55,NUEVA ESPAÑA,OPERATIVO,,CALLE DE  EMBAJADA DE COSTA RICA,1,31008516,
170579, COLEGIO PUBLICO MIGUEL DE UNAMUNO,2,ARGANZUELA,25,DELICIAS,OPERATIVO,,CALLE DE  COLEGIO PUBLICO MIGUEL DE UNAMUNO,7,11009480,
172923, EN EL PARQUE,2,ARGANZUELA,25,DELICIAS,OPERATIVO,,CALLE DE  EN EL PARQUE,6,11009534,
172981, CERCA ESTACION DE METRO PLAZA DE CASTILLA,5,CHAMARTIN,55,NUEVA ESPAÑA,OPERATIVO,,PLAZA DE  CERCA ESTACION DE METRO PLAZA DE CASTILLA,9,20131087,
173321, CENTRO DEPORTIVO MUNICIPAL PEÑUELAS,2,ARGANZUELA,22,ACACIAS,OPERATIVO,,CALLE DE  CENTRO DEPORTIVO MUNICIPAL PEÑUELAS,42,20065138,
173548, COLEGIO PUBLICO ARQUITECTO GAUDI,5,CHAMARTIN,55,NUEVA ESPAÑA,OPERATIVO,,CALLE DE  COLEGIO PUBLICO ARQUITECTO GAUDI,6,20102934,
173555, ARCHIVO REGIONAL DE LA COMUNIDAD DE MADRID,2,ARGANZUELA,25,DELICIAS,OPERATIVO,,CALLE DE  ARCHIVO REGIONAL DE LA COMUNIDAD DE MADRID,25,11009552,
173669, BIBLIOTECA PUBLICA MUNICIPAL PIO BAROJA,2,ARGANZUELA,22,ACACIAS,OPERATIVO,,CALLE DE  BIBLIOTECA PUBLICA MUNICIPAL PIO BAROJA,10 C,31050694,
173919, ESTACION DE CERCANIAS DELICIAS,2,ARGANZUELA,25,DELICIAS,OPERATIVO,,PASEO DE  ESTACION DE CERCANIAS DELICIAS,61 A,11009550,
173964, AYUNTAMIENTO DE MADRID,2,ARGANZUELA,25,DELICIAS,OPERATIVO,,CALLE DE  AYUNTAMIENTO DE MADRID,11,31032623,
175086, JUNTO A CARRIL BICI,2,ARGANZUELA,26,PALOS DE MOGUER,OPERATIVO,,GLORIETA DE  JUNTO A CARRIL BICI,2,20097258,
175640, ESCUELA INFANTIL EL ALBA,2,ARGANZUELA,22,ACACIAS,OPERATIVO,,CALLE DE  ESCUELA INFANTIL EL ALBA,181,20002162,
175788, I.E.S. GRAN CAPITAN,2,ARGANZUELA,21,IMPERIAL,OPERATIVO,,PASEO DE  I.E.S. GRAN CAPITAN,51,11008217,
176608, POLIDEPORTIVO MPAL GALLUR,10,LATINA,101,LOS CARMENES,OPERATIVO,,CALLE DE  POLIDEPORTIVO MPAL GALLUR,1,11059060,
176854, POLIDEPORTIVO GALLUR,10,LATINA,101,LOS CARMENES,OPERATIVO,,CALLE DE  POLIDEPORTIVO GALLUR,2,20019104,
177370, CENTRO CULTURAL SARA MONTIEL,10,LATINA,105,CAMPAMENTO,OPERATIVO,,CARRETERA DE  CENTRO CULTURAL SARA MONTIEL,40,31012355,
178375, CENTRO CULTURAL JOSE LUIS SAMPREDO,10,LATINA,103,LUCERO,OPERATIVO,,CALLE DE  CENTRO CULTURAL JOSE LUIS SAMPREDO,4,20086999,
179215, CENTRO CONCERTADO COLEGIO LOURDES,10,LATINA,103,LUCERO,OPERATIVO,,CALLE DE  CENTRO CONCERTADO COLEGIO LOURDES,8,11064205,
179635, C/SAN LEON 3,10,LATINA,103,LUCERO,OPERATIVO,,CALLE DE  C/SAN LEON 3,21,11064128,
181120, C.P SAN JOSE DE CALASANZ,10,LATINA,102,PUERTA DEL ANGEL,OPERATIVO,,CALLE DE  C.P SAN JOSE DE CALASANZ,62,31052000,
181202, CENTRO COMERCIAL LA ERMITA,10,LATINA,101,LOS CARMENES,OPERATIVO,,PASEO DE  CENTRO COMERCIAL LA ERMITA,66,20075161,
182236, COLEGIO PUBLICO BOLIVIA,10,LATINA,103,LUCERO,OPERATIVO,,CALLE DE  COLEGIO PUBLICO BOLIVIA,29,11064051,
182617, COLEGIO DIVINO MAESTRO,10,LATINA,103,LUCERO,OPERATIVO,,PASEO DE  COLEGIO DIVINO MAESTRO,165,11063043,
182945,Situado Aparcabicicletas FRENTE AL PARQUE CARAMUEL (Cerca de la cancha),10,LATINA,102,PUERTA DEL ANGEL,OPERATIVO,,CALLE DE Situado Aparcabicicletas FRENTE AL PARQUE CARAMUEL (Cerca de la cancha),58,11061206,
184345, SALA DE LECTURA JUNTA MUNICIPAL DE LATINA,10,LATINA,102,PUERTA DEL ANGEL,OPERATIVO,,PASEO DE  SALA DE LECTURA JUNTA MUNICIPAL DE LATINA,128,11061831,
