id,Gis_X,Gis_Y,FechadeAlta,Distrito,same_as_wikidata_distrito,Barrio,same_as_wikidata_barrio,NFinca,TipodeReserva,NumerodePlazas,Longitud,Latitud,DireccionNew,same_as_wikidata_direccion,Direccion
68,441358.92,4473802.81,41813,Retiro,https://wikidata.org/entity/Q2002296,Jerónimos,https://wikidata.org/entity/Q10306766,1,BiciMAD,21,-3.6911649,40.412781,CALLE DE ESPALTER,,ESPALTER.CALLE.DE.1
69,441551.54,4473499.36,41813,Retiro,https://wikidata.org/entity/Q2002296,Jerónimos,https://wikidata.org/entity/Q10306766,54,BiciMAD,27,-3.6888669,40.4100609,CALLE DE ALFONSOXII,,ALFONSOXII.CALLE.DE.54
70,442494.99,4474064.79,41813,Retiro,https://wikidata.org/entity/Q2002296,Jerónimos,https://wikidata.org/entity/Q10306766,frente63,BiciMAD,24,-3.6777994,40.4152203,AVENIDA DE MENENDEZPELAYO,,MENENDEZPELAYO.AVENIDA.DE.frente63
71,442816.22,4474149.49,41813,Retiro,https://wikidata.org/entity/Q2002296,JESuS,,28,BiciMAD,24,-3.674021,40.4160054,CALLE DEL DOCEDEOCTUBRE,,DOCEDEOCTUBRE.CALLE.DEL.28
72,443189.11,4474115.08,41813,Retiro,https://wikidata.org/entity/Q2002296,JESuS,,62,BiciMAD,24,-3.669623,40.415721,CALLE DEL DOCTORESQUERDO,,DOCTORESQUERDO.CALLE.DEL.62
73,443229.99,4473642.11,41813,Retiro,https://wikidata.org/entity/Q2002296,Estrella,https://wikidata.org/entity/Q3773738,S/N,BiciMAD,24,-3.669099,40.411463,PLAZA DELOS ASTROS,,ASTROS.PLAZA.DELOS.S/N
74,442595.78,4473679.92,41813,Retiro,https://wikidata.org/entity/Q2002296,Jerónimos,https://wikidata.org/entity/Q10306766,S/N,BiciMAD,24,-3.6765768,40.4117601,AVENIDA DE MENENDEZPELAYO,,MENENDEZPELAYO.AVENIDA.DE.S/N
75,442436.91,4473301.34,41813,Retiro,https://wikidata.org/entity/Q2002296,Jerónimos,https://wikidata.org/entity/Q10306766,S/N,BiciMAD,24,-3.6784149,40.4083387,AVENIDA DE MENENDEZPELAYO,,MENENDEZPELAYO.AVENIDA.DE.S/N
76,442712.67,4473182.27,41813,Retiro,https://wikidata.org/entity/Q2002296,JESuS,,19,BiciMAD,24,-3.6751544,40.4072851,AVENIDA DEL MEDITERRANEO,,MEDITERRANEO.AVENIDA.DEL.19
77,443083.53,4473073.95,41813,Retiro,https://wikidata.org/entity/Q2002296,Pacífico,https://wikidata.org/entity/Q3773753,8,BiciMAD,22,-3.6707742,40.4063347,PLAZA DEL CONDEDECASAL,,CONDEDECASAL.PLAZA.DEL.8
78,442755.86,4472436.57,41813,Retiro,https://wikidata.org/entity/Q2002296,Adelfas,https://wikidata.org/entity/Q3774001,2,BiciMAD,24,-3.6745783,40.4005704,CALLE DEL CERRODELAPLATA,,CERRODELAPLATA.CALLE.DEL.2
79,442252.73,4472937.49,41813,Retiro,https://wikidata.org/entity/Q2002296,Pacífico,https://wikidata.org/entity/Q3773753,38,BiciMAD,24,-3.6805524,40.4050482,AVENIDA DE MENENDEZPELAYO,,MENENDEZPELAYO.AVENIDA.DE.38
080a,441412.24,4473206.43,41813,Arganzuela,https://wikidata.org/entity/Q2000929,Atocha,https://wikidata.org/entity/Q3814594,S/N,BiciMAD,24,-3.6904816,40.4074122,AVENIDA DELA CIUDADDEBARCELONA,,CIUDADDEBARCELONA.AVENIDA.DELA.S/N
080b,441391.88,4473230.32,41813,Arganzuela,https://wikidata.org/entity/Q2000929,Atocha,https://wikidata.org/entity/Q3814594,S/N,BiciMAD,27,-3.6907238,40.407626,AVENIDA DELA CIUDADDEBARCELONA,,CIUDADDEBARCELONA.AVENIDA.DELA.S/N
81,441288.14,4473447.57,41813,Retiro,https://wikidata.org/entity/Q2002296,Jerónimos,https://wikidata.org/entity/Q10306766,S/N,BiciMAD,24,-3.6919663,40.4095758,CALLE DE CLAUDIOMOYANO,,CLAUDIOMOYANO.CALLE.DE.S/N
82,443177.93,4473311.29,41813,Retiro,https://wikidata.org/entity/Q2002296,Estrella,https://wikidata.org/entity/Q3773738,frente2,BiciMAD,24,-3.669683,40.4084793,CALLE DELA LIRA,,LIRA.CALLE.DELA.frente2
83,442770.38,4473844.96,41813,Retiro,https://wikidata.org/entity/Q2002296,JESuS,,8B,BiciMAD,24,-3.6745339,40.4132589,CALLE DE PIOBAROJA,,PIOBAROJA.CALLE.DE.8B
84,442918.27,4472746.05,41813,Retiro,https://wikidata.org/entity/Q2002296,Adelfas,https://wikidata.org/entity/Q3774001,191,BiciMAD,24,-3.6726923,40.4033695,CALLE DEL DOCTORESQUERDO,,DOCTORESQUERDO.CALLE.DEL.191
85,442319.29,4474723.43,41813,Retiro,https://wikidata.org/entity/Q2002296,Jerónimos,https://wikidata.org/entity/Q10306766,frente9,BiciMAD,27,-3.6799299,40.4211415,AVENIDA DE MENENDEZPELAYO,,MENENDEZPELAYO.AVENIDA.DE.frente9
86,441180.29,4474447.71,41904,Centro,https://wikidata.org/entity/Q1763376,Cortes,https://wikidata.org/entity/Q2535637,S/N,BiciMAD,21,-3.6933298,40.4185779,PASEO DEL PRADO,,PRADO.PASEO.DEL.S/N
87,442016.68,4475450.66,41813,Salamanca,https://wikidata.org/entity/Q1773521,Recoletos,https://wikidata.org/entity/Q3814551,44,BiciMAD,24,-3.6835631,40.4276717,"Calle de Ayala, Madrid",https://wikidata.org/entity/Q28052812,AYALA.CALLE.DE.44
88,442004.11,4475843.28,41813,Salamanca,https://wikidata.org/entity/Q1773521,Castellana,https://wikidata.org/entity/Q4781,73,BiciMAD,24,-3.6837471,40.4312077,calle de Velázquez,https://wikidata.org/entity/Q20031523,VELAZQUEZ.CALLE.DE.73
89,442728.15,4475399.8,41813,Salamanca,https://wikidata.org/entity/Q1773521,Goya,https://wikidata.org/entity/Q3814578,102,BiciMAD,24,-3.6751716,40.4272628,"Calle de Ayala, Madrid",https://wikidata.org/entity/Q28052812,AYALA.CALLE.DE.102
90,442000.33,4475163.96,41813,Salamanca,https://wikidata.org/entity/Q1773521,Recoletos,https://wikidata.org/entity/Q3814551,18,BiciMAD,24,-3.6837297,40.4250878,CALLE DE GOYA,,GOYA.CALLE.DE.18
090ampliacion,442014.61,4475162.88,43115,Salamanca,https://wikidata.org/entity/Q1773521,Recoletos,https://wikidata.org/entity/Q3814551,20,BiciMAD,6,-3.6835613,40.4250791,CALLE DE GOYA,,GOYA.CALLE.DE.20
91,442417.66,4475274.35,41813,Salamanca,https://wikidata.org/entity/Q1773521,Goya,https://wikidata.org/entity/Q3814578,73,BiciMAD,24,-3.6788203,40.4261113,Calle de Hermosilla,https://wikidata.org/entity/Q28052826,HERMOSILLA.CALLE.DE.73
92,441767.83,4475291.85,41813,Salamanca,https://wikidata.org/entity/Q1773521,Recoletos,https://wikidata.org/entity/Q3814551,45,BiciMAD,24,-3.6864821,40.4262237,CALLE DE CLAUDIOCOELLO,,CLAUDIOCOELLO.CALLE.DE.45
93,441518.8,4475235.48,41813,Salamanca,https://wikidata.org/entity/Q1773521,Recoletos,https://wikidata.org/entity/Q3814551,3,BiciMAD,24,-3.6894124,40.4256984,CALLE DE GOYA,,GOYA.CALLE.DE.3
94,441407.18,4474977.73,41813,Salamanca,https://wikidata.org/entity/Q1773521,Recoletos,https://wikidata.org/entity/Q3814551,22,BiciMAD,21,-3.6907044,40.4233686,Paseo de Recoletos,https://wikidata.org/entity/Q2550870,RECOLETOS.PASEO.DE.22
95,441721.55,4474897,41813,Salamanca,https://wikidata.org/entity/Q1773521,Recoletos,https://wikidata.org/entity/Q3814551,19,BiciMAD,24,-3.6869914,40.4226634,CALLE DE CLAUDIOCOELLO,,CLAUDIOCOELLO.CALLE.DE.19
96,442140.46,4474825.84,41813,Salamanca,https://wikidata.org/entity/Q1773521,Recoletos,https://wikidata.org/entity/Q3814551,111,BiciMAD,27,-3.6820471,40.4220516,Alcalá Street,https://wikidata.org/entity/Q2424746,ALCALA.CALLE.DE.111
97,442301.64,4474872.66,41813,Salamanca,https://wikidata.org/entity/Q1773521,Goya,https://wikidata.org/entity/Q3814578,1,BiciMAD,27,-3.6801515,40.4224846,AVENIDA DE MENENDEZPELAYO,,MENENDEZPELAYO.AVENIDA.DE.1
98,442705.5,4475058.99,41813,Salamanca,https://wikidata.org/entity/Q1773521,Goya,https://wikidata.org/entity/Q3814578,5,BiciMAD,24,-3.6754079,40.4241911,AVENIDA DE FELIPEII,,FELIPEII.AVENIDA.DE.5
99,442829.62,4475270.48,41813,Salamanca,https://wikidata.org/entity/Q1773521,Goya,https://wikidata.org/entity/Q3814578,2,BiciMAD,24,-3.6739638,40.4261048,"Calle de Alcántara, Madrid",https://wikidata.org/entity/Q28070781,ALCANTARA.CALLE.DE.2
100,442835.81,4475123.85,41813,Salamanca,https://wikidata.org/entity/Q1773521,Goya,https://wikidata.org/entity/Q3814578,99,BiciMAD,24,-3.6738777,40.4247843,CALLE DE GOYA,,GOYA.CALLE.DE.99
101,443212.16,4474936.49,41813,Salamanca,https://wikidata.org/entity/Q1773521,Goya,https://wikidata.org/entity/Q3814578,131,BiciMAD,24,-3.6694246,40.4231223,CALLE DE JORGEJUAN,,JORGEJUAN.CALLE.DE.131
102,441967.18,4474727.67,41813,Salamanca,https://wikidata.org/entity/Q1773521,Recoletos,https://wikidata.org/entity/Q3814551,95,BiciMAD,24,-3.6840806,40.4211552,Alcalá Street,https://wikidata.org/entity/Q2424746,ALCALA.CALLE.DE.95
103,441766.91,4475752.49,41813,Salamanca,https://wikidata.org/entity/Q1773521,Castellana,https://wikidata.org/entity/Q4781,4,BiciMAD,24,-3.6865351,40.4303733,CALLE DE JOSEORTEGAYGASSET,,JOSEORTEGAYGASSET.CALLE.DE.4
104,441505.58,4475354.07,41813,Salamanca,https://wikidata.org/entity/Q1773521,Recoletos,https://wikidata.org/entity/Q3814551,4,BiciMAD,21,-3.6895792,40.4267658,PASEO DELA CASTELLANA,,CASTELLANA.PASEO.DELA.4
