id_local,desc_distrito_local,desc_barrio_local,direccion,Cod_Postal,coordenada_x_local,coordenada_y_local,desc_situacion_local,rotulo,desc_periodo_terraza,desc_situacion_terraza,Superficie_ES,Superficie_RA,desc_ubicacion_terraza,hora_ini_LJ_es,min_ini_LJ_es,hora_fin_LJ_es 1,min_fin_LJ_es,hora_ini_LJ_ra,min_ini_LJ_ra,hora_fin_LJ_ra,min_fin_LJ_ra,hora_ini_VS_es,min_ini_VS_es,hora_fin_VS_es,min_fin_VS_es,hora_ini_VS_ra,min_ini_VS_ra,hora_fin_VS_ra,min_fin_VS_ra,mesas_es,mesas_ra
"170000724,VILLAVERDE,SAN-ANDRES,39 PASEO ALBERTO PALACIOS,28021,""439441,54"",""4466238,52"",Abierto,BAR LAS NIÑAS,Anual,Abierta,""10,08"",""10,08"",Acera,8,0,1,30,8,0,1,0,8,0,1,30,8,0,1,0,7,7"
"270181482,VILLAVERDE,SAN-ANDRES,12 CALLE GRAFITO,28021,""439235,54"",""4466441,52"",Abierto,BAR MEZQUITA,Anual,Abierta,""31,86"",""31,86"",Zona de estacionamiento,8,0,1,30,8,0,1,0,8,0,1,30,8,0,1,0,6,3"
"170000308,VILLAVERDE,SAN-ANDRES,45 CALLE ALCOCER,28021,""440117,54"",""4466833,51"",Abierto,BAR RENATO,Anual,Abierta,""98,81"",""98,81"",Bulevar,8,0,1,30,8,0,1,0,8,0,1,30,8,0,1,0,22,22"
"270020492,VILLAVERDE,SAN-CRISTOBAL,95 CALLE BENIMAMET,28021,""441813,52"",""4466134,5"",Abierto,PEREZ CAFETERIA,Anual,Abierta,""19,44"",""10,8"",Acera,8,0,1,30,8,0,1,0,8,0,1,30,8,0,1,0,6,6"
"270539656,VILLAVERDE,BUTARQUE,3 CALLE BERROCAL,28021,""442506,52"",""4466515,49"",Abierto,100 MONTADITOS,Anual,Abierta,""72,5"",""72,5"",Acera,8,0,1,30,8,0,1,0,8,0,1,30,8,0,1,0,21,21"
"270183511,VILLAVERDE,LOS-ANGELES,1 CALLE HERMANDAD DE DONANTES DE SANGRE,28041,""440611,54"",""4467373,51"",Abierto,RESTAURANTE GALLARDO,Anual,Abierta,""51,84"",""51,84"",Acera,8,0,1,30,8,0,1,0,8,0,1,30,8,0,1,0,16,16"
"270023348,VILLAVERDE,LOS-ANGELES,7 CALLE EL HUESPED DEL SEVILLANO,28041,""440692,54"",""4467514,51"",Abierto,LA ATALAYA,Estacional,Abierta,""97,2"",,Acera,8,0,1,30,,,,,8,0,1,30,,,,,30,"
"170000123,VILLAVERDE,LOS-ANGELES,2 CALLE LA CANCION DEL OLVIDO,28041,""440699,55"",""4468091,51"",Abierto,ALQUEZAR LA BODEGA DE COTE,Anual,Abierta,72,72,Acera,8,0,1,30,8,0,1,0,8,0,1,30,8,0,1,0,20,20"
"270314735,VILLAVERDE,BUTARQUE,94 AVENIDA LOS ROSALES,28021,""442293,53"",""4467170,49"",Abierto,RESTAURANTE SALINAS PROSPERIDAD III,Anual,Abierta,""90,57"",""90,57"",Otros,8,0,1,30,8,0,1,0,8,0,1,30,8,0,1,0,14,8"
"170000009,VILLAVERDE,LOS-ANGELES,78 CALLE LA DEL MANOJO DE ROSAS,28041,""440729,54"",""4467406,51"",Abierto,JOSE,Anual,Abierta,27,27,Acera,8,0,1,30,8,0,1,0,8,0,1,30,8,0,1,0,7,7"
"270488062,VILLAVERDE,SAN-ANDRES,2 CALLE ANTIMONIO,28021,""439905,54"",""4466534,52"",Abierto,CAFE SAXO,Estacional,Abierta,""77,76"",,Plaza peatonal,8,0,1,30,,,,,8,0,1,30,,,,,24,"
"170000013,VILLAVERDE,SAN-CRISTOBAL,22 CALLE ROCAFORT,28021,""441634,52"",""4465850,5"",Abierto,CERVECERIA SAN CRISTOBAL,Estacional,Abierta,""21,78"",,Acera,8,0,1,30,,,,,8,0,1,30,,,,,6,"
"270182385,VILLAVERDE,LOS-ROSALES,48 CALLE SAHARA,28041,""441185,54"",""4467321,51"",Abierto,EL PORTON,Anual,Abierta,""99,77"",""99,77"",Otros,8,0,1,30,8,0,1,0,8,0,1,30,8,0,1,0,21,21"
"270418033,VILLAVERDE,LOS-ROSALES,6 PLAZA CHOZAS DE CANALES,28021,""441338,53"",""4467062,5"",Abierto,PLAZA II,Anual,Abierta,""32,4"",""32,4"",Plaza peatonal,8,0,1,30,8,0,1,0,8,0,1,30,8,0,1,0,18,18"
"270033353,VILLAVERDE,SAN-CRISTOBAL,9 CALLE ROCAFORT,28021,""441482,52"",""4465904,5"",Abierto,BAR PIRATA,Anual,Abierta,77,77,Plaza peatonal,8,0,1,30,8,0,1,0,8,0,1,30,8,0,1,0,21,21"
"20000100,ARGANZUELA,CHOPERA,132 PASEO DELICIAS,28045,""441013,58"",""4471631,52"",Abierto,CERVECERIA LA LASTRA,Anual,Abierta,""17,36"",""17,36"",Acera,10,0,1,0,10,0,0,0,10,0,2,30,10,0,0,0,6,6"
"20000172,ARGANZUELA,PALOS-DE-MOGUER,28 CALLE ANCORA,28045,""441427,58"",""4472681,52"",Abierto,BAR SORIA,Anual,Abierta,""37,41"",""37,41"",Acera,10,0,1,0,10,0,0,0,10,0,2,30,10,0,0,0,9,0"
"20001101,ARGANZUELA,IMPERIAL,53 PASEO IMPERIAL,28005,""439273,59"",""4472845,53"",Abierto,CERVECERIA CANTALEJO RESTAURANTE,Anual,Abierta,""47,81"",""47,81"",Acera,10,0,1,0,10,0,0,0,10,0,2,30,10,0,0,0,17,0"
"270267597,ARGANZUELA,CHOPERA,11 CALLE JAIME EL CONQUISTADOR,28045,""440774,58"",""4472081,52"",Abierto,BAR ORENSE,Anual,Abierta,""12,96"",""12,96"",Acera,10,0,1,0,10,0,0,0,10,0,2,30,10,0,0,0,4,4"
"20001080,ARGANZUELA,CHOPERA,15 CALLE JAIME EL CONQUISTADOR,28045,""440768,58"",""4472030,52"",Abierto,BAR EL CONQUISTADOR,Anual,Abierta,""37,87"",""37,87"",Acera,10,0,1,0,10,0,0,0,10,0,2,30,10,0,0,0,12,0"
"270055919,ARGANZUELA,CHOPERA,29 CALLE JAIME EL CONQUISTADOR,28045,""440749,58"",""4471854,52"",Abierto,CAFETERIA LOA,Anual,Abierta,""27,93"",""27,93"",Acera,10,0,1,0,10,0,0,0,10,0,2,30,10,0,0,0,8,0"
