Identificador,Gis_X,Gis_Y,Fecha de Alta,Distrito,Barrio,Nº Finca,Tipo de Reserva,Puestos,LATITUD,LONGITUD,DIRECCIÓN,C.P.,POBLACION,PROVINCIA,Fichas,Línea / Batería,LongitudP,Horario
174,"440054,62","4472107,63",43718,02  ARGANZUELA,02-02 ACACIAS,8,BiciMAD,27,40.397417,-3.7063771,"YESERIAS, PASEO, DE LAS, 8",,,,,,,
175,"440738,79","4471974,72",43641,02  ARGANZUELA,02-03 CHOPERA,30,BiciMAD,21,40.3962687,-3.6983033,"JAIME EL CONQUISTADOR, CALLE, DE, 30",,,,,,,
176,"441133,61","4471746,54",43634,02  ARGANZUELA,02-05 DELICIAS,3,BiciMAD,24,40.3942411,-3.6936302,"ALICANTE, CALLE, DE, 3",,,,,,,
177,"441092,45","4471442,79",43634,02  ARGANZUELA,02-05 DELICIAS,3,BiciMAD,24,40.3915019,-3.694087,"BOLIVAR, CALLE, DE, 3",,,,,,,
178,"442391,73","4472711,75",43881,03  RETIRO,03-01 PACÍFICO,1,BiciMAD,24,40.4030242,-3.6788939,"LEON GIL DE PALACIO, CALLE, DE, 1",,,,,,,
179,"443221,91","4472140,39",43738,13  PUENTE DE VALLECAS,13-02 SAN DIEGO,S/N,BiciMAD,24,40.3979341,-3.6690602,"M-30, AUTOVIA, S/N",,,,,,,
180,"442636,16","4471722,03",43719,02  ARGANZUELA,02-07 ATOCHA,5,BiciMAD,24,40.3941252,-3.6759244,"RETAMA, CALLE, DE LA, 5",,,,,,,
181,"442595,87","4474391,99",43634,03  RETIRO,03-04 IBIZA,18,BiciMAD,27,40.4181748,-3.67664,"IBIZA, CALLE, DE, 18",,,,,,,
182,"443541,21","4474444,72",43612,03  RETIRO,03-03 ESTRELLA,90,BiciMAD,24,40.4187145,-3.6655023,"ALCALDE SAINZ DE BARANDA, CALLE, DEL, 90",,,,,,,
183,"443212,07","4475215,51",43678,04  SALAMANCA,04-02 GOYA,135,BiciMAD,24,40.4256358,-3.6694506,"HERMOSILLA, CALLE, DE, 135",,,,,,,
184,"443563,66","4475253,54",43678,04  SALAMANCA,04-03 FUENTE DEL BERRO,24,BiciMAD,24,40.4260023,-3.6653095,"MARQUES DE ZAFRA, PASEO, DEL, 24",,,,,,,
185,"443883,24","4475147,45",43678,04  SALAMANCA,04-03 FUENTE DEL BERRO,frente 4,BiciMAD,24,40.4250682,-3.661533,"MARQUES DE ZAFRA, GLORIETA, DEL, frente 4",,,,,,,
186,"442466,16","4475602,3",43738,04  SALAMANCA,04-05 LISTA,56,BiciMAD,24,40.429069,-3.6782783,"GENERAL PARDIÑAS, CALLE, DEL, 56",,,,,,,
187,"443691,7","4475711,36",43655,04  SALAMANCA,04-03 FUENTE DEL BERRO,1,BiciMAD,24,40.4301353,-3.6638407,"ALEJANDRO GONZALEZ, CALLE, DE, 1",,,,,,,
188,"444111,11","4475822,61",43720,15  CIUDAD LINEAL,15-01 VENTAS,2,BiciMAD,27,40.4311658,-3.6589062,"DAROCA, AVENIDA, DE, 2",,,,,,,
189,"444399,55","4476248,37",43759,15  CIUDAD LINEAL,15-04 CONCEPCIÓN,18,BiciMAD,24,40.4350206,-3.6555431,"VIRGEN DE LA ALEGRIA, CALLE, DE LA, 18",,,,,,,
190,"442030,24","4476194,79",43678,04  SALAMANCA,04-06 CASTELLANA,91,BiciMAD,24,40.4343761,-3.6834711,"VELAZQUEZ, CALLE, DE, 91",,,,,,,
191,"442830,66","4476215,36",43700,04  SALAMANCA,04-04 GUINDALERA,1,BiciMAD,18,40.4346168,-3.6740365,"ALONSO HEREDIA, CALLE, DE, 1",,,,,,,
192,"443049,28","4475907,11",43634,04  SALAMANCA,04-04 GUINDALERA,3,BiciMAD,27,40.431855,-3.6714315,"TOREROS, AVENIDA, DE LOS, 3",,,,,,,
193,"443540,74","4475977,26",43634,04  SALAMANCA,04-04 GUINDALERA,47,BiciMAD,24,40.4325204,-3.665644,"TOREROS, AVENIDA, DE LOS, 47",,,,,,,
194,"442564,99","4476503,98",43738,04  SALAMANCA,04-04 GUINDALERA,86,BiciMAD,24,40.4371986,-3.6771947,"FRANCISCO SILVELA, CALLE, DE, 86",,,,,,,
195,"442711,2","4476730,39",43738,05  CHAMARTÍN,05-02 PROSPERIDAD,1,BiciMAD,24,40.4392483,-3.6754913,"PADRE INDALECIO HERNANDEZ, CALLE, DEL, 1",,,,,,,
196,"442749,2","4477268,2",43759,05  CHAMARTÍN,05-03 CIUDAD JARDÍN,2,BiciMAD,24,40.4440957,-3.6750918,"SUERO DE QUIÑONES, CALLE, DE, 2",,,,,,,
197,"442506,78","4478097,54",43678,05  CHAMARTÍN,05-01 EL VISO,S/N,BiciMAD,24,40.4515501,-3.6780252,"CONCHA ESPINA, AVENIDA, DE, S/N",,,,,,,
198,"441342,11","4476060,39",43752,07  CHAMBERÍ,07-04 ALMAGRO,2,BiciMAD,24,40.4331172,-3.6915713,"RUBEN DARIO, GLORIETA, DE, 2",,,,,,,
199,"439369,52","4476210,1",43641,07  CHAMBERÍ,07-01 GAZTAMBIDE,61,BiciMAD,27,40.4343244,-3.7148406,"FERNANDO EL CATOLICO, CALLE, DE, 61",,,,,,,
200,"440231,49","4476129,61",43714,07  CHAMBERÍ,07-02 ARAPILES,frente 4,BiciMAD,24,40.4336617,-3.704671,"QUEVEDO, GLORIETA, DE, frente 4",,,,,,,
201,"440308,49","4476691,87",43759,07  CHAMBERÍ,07-05 RÍOS ROSAS,frente al 2,BiciMAD,24,40.4387323,-3.7038161,"JOSE ABASCAL, CALLE, DE, frente al 2",,,,,,,
202,"439947,59","4476965,21",43749,07  CHAMBERÍ,07-06 VALLEHERMOSO,S/N,BiciMAD,24,40.4411686,-3.7080969,"SANTANDER, CALLE, DE, S/N",,,,,,,
203,"439411,53","4477034,58",43612,07  CHAMBERÍ,07-06 VALLEHERMOSO,2,BiciMAD,24,40.4417547,-3.7144239,"GENERAL AMPUDIA, CALLE, DEL, 2",,,,,,,
204,"440286,36","4477683,16",43678,06  TETUÁN,06-01 BELLAS VISTAS,1,BiciMAD,24,40.4476606,-3.7041702,"DOCTOR SANTERO, CALLE, DEL, 1",,,,,,,
205,"440361,85","4478331,04",43634,06  TETUÁN,06-01 BELLAS VISTAS,1,BiciMAD,24,40.4535024,-3.7033408,"NAVARRA, CALLE, DE, 1",,,,,,,
206,"440732,11","4479138,12",43720,06  TETUÁN,06-06 BERRUGUETE,5,BiciMAD,24,40.4607994,-3.6990499,"MARQUES DE VIANA, CALLE, DEL, 5",,,,,,,
207,"440874,02","4479384,51",43669,06  TETUÁN,06-05 VALDEACEDERAS,1,BiciMAD,18,40.4630291,-3.6973991,"AZUCENAS, CALLE, DE LAS, 1",,,,,,,
208,"441615,82","4479765,37",43738,05  CHAMARTÍN,05-06 CASTILLA,S/N,BiciMAD,24,40.4665125,-3.6886852,"CASTELLANA, PASEO, DE LA, S/N",,,,,,,
209,"441606,43","4479673,82",43738,05  CHAMARTÍN,05-05 NUEVA ESPAÑA,9,BiciMAD,24,40.4656872,-3.6887875,"CASTILLA, PLAZA, DE, 9",,,,,,,
210,"440392,24","4474584,46",43662,01  CENTRO,01-06 SOL,9,BiciMAD,27,40.4197538,-3.702631,"TRES CRUCES, CALLE, DE LAS, 9",,,,,,,
211,"440400,99","4474680,19",43697,01  CENTRO,01-05 UNIVERSIDAD,3,BiciMAD,24,40.4206168,-3.7025369,"DESENGAÑO, CALLE, DEL, 3",,,,,,,
212,"439193,57","4472197,09",44008,11  CARABANCHEL,11-03 SAN ISIDRO,9,BiciMAD,24,40.3981605,-3.7165313,"MARQUES DE VADILLO, GLORIETA, DEL, 9",,,,,,,
213,"440574,99","4471162,08",44089,12  USERA,12-05 MOSCARDÓ,129,BiciMAD,24,40.3889363,-3.7001575,"ANTONIO LOPEZ, CALLE, DE, 129",,,,,,,
214,"444286,32","4477179,51",44126,15  CIUDAD LINEAL,15-05 SAN PASCUAL,2,BiciMAD,24,40.4434012,-3.6569597,"CONDESA DE VENADITO, CALLE, DE LA, 2",,,,,,,
215,"445631,32","4475647,64",44126,15  CIUDAD LINEAL,15-02 PUEBLO NUEVO,77,BiciMAD,24,40.4296903,-3.6409697,"GUTIERRE DE CETINA, CALLE, DE, 77",,,,,,,
216,"438158,91","4473969,7",44127,10  LATINA,10-02 PUERTA DEL ÁNGEL,3,BiciMAD,24,40.4140528,-3.7288948,"PUERTA DEL ANGEL, PLAZA, DE LA, 3",,,,,,,
217,"441592,41","4481374,08",44132,08  FUENCARRAL-EL PARDO,08-05 LA PAZ,frente al 4,BiciMAD,24,40.4810028,-3.6891094,"PEDRO RICO, CALLE, DE, frente al 4",,,,,,,
218,"444221,86","4473533,53",44153,14  MORATALAZ,14-04 MEDIA LEGUA,28,BiciMAD,24,40.4105519,-3.6573999,"CAMINO DE LOS VINATEROS, CALLE, DEL, 28",,,,,,,
219,"445121,32","4473287,59",44153,14  MORATALAZ,14-03 MARROQUINA,108,BiciMAD,24,40.4083961,-3.6467783,"CAMINO DE LOS VINATEROS, CALLE, DEL, 108",,,,,,,
220,"444725,09","4473041,7",44153,14  MORATALAZ,14-04 MEDIA LEGUA,frente al 4,BiciMAD,24,40.4061548,-3.6514264,"ARROYO DE LAS PILILLAS, CALLE, DEL, frente al 4",,,,,,,
221,"446141,03","4472399,01",44153,14  MORATALAZ,14-01 PAVONES,346,BiciMAD,24,40.4004579,-3.6346859,"HACIENDA DE PAVONES, CALLE, DE LA, 346",,,,,,,
222,"440362,66","4471479,61",44169,12  USERA,12-05 MOSCARDÓ,5,BiciMAD,24,40.3917816,-3.7026887,"EUGENIO CAXES, CALLE, DE, 5",,,,,,,
223,"438522,93","4473120,98",44169,10  LATINA,10-01 CÁRMENES,48,BiciMAD,24,40.4064341,-3.7245226,"ERMITA DEL SANTO, PASEO, DE LA, 48",,,,,,,
224,438160,"4473395,7",44169,10  LATINA,10-02 PUERTA DEL ÁNGEL,frente al 52,BiciMAD,24,40.408882,-3.7288262,"CARAMUEL, CALLE, DE, frente al 52",,,,,,,
225,"443978,28","4472656,95",44181,13  PUENTE DE VALLECAS,13-06 NUMANCIA,33,BiciMAD,24,40.4026388,-3.6601933,"SIERRA TOLEDANA, CALLE, DE LA, 33",,,,,,,
226,"443934,22","4472275,39",44181,13  PUENTE DE VALLECAS,13-06 NUMANCIA,94,BiciMAD,24,40.3991986,-3.6606789,"VALDERRIBAS, CAMINO, DE, 94",,,,,,,
227,"443466,29","4471705,78",44181,13  PUENTE DE VALLECAS,13-02 SAN DIEGO,4,BiciMAD,24,40.3940355,-3.6661421,"ARROYO DEL OLIVAR, CALLE, DEL, 4",,,,,,,
228,"439910,49","4471772,12",44181,11  CARABANCHEL,11-01 COMILLA,9,BiciMAD,24,40.3943842,-3.7080437,"SAN DELFIN, CALLE, DE, 9",,,,,,,
229,"444985,82","4476472,45",44181,15  CIUDAD LINEAL,15-04 CONCEPCIÓN,5,BiciMAD,24,40.4370782,-3.6486507,"JOSE DEL HIERRO, CALLE, DE, 5",,,,,,,
230,"444952,82","4477207,59",44181,15  CIUDAD LINEAL,15-05 SAN PASCUAL,32,BiciMAD,24,40.4436986,-3.6491034,"CARLOTA O'NEILL, CALLE, DE, 32",,,,,,,
231,"444380,2","4476773,28",44181,15  CIUDAD LINEAL,15-05 SAN PASCUAL,14,BiciMAD,24,40.439748,-3.6558172,"DERECHOS HUMANOS, CALLE, DE LOS, 14",,,,,,,
232,"444989,2","4476001,54",44181,15  CIUDAD LINEAL,15-01 VENTAS,1,BiciMAD,24,40.4328362,-3.6485701,"JOSE MARIA PEREDA, CALLE, DE, 1",,,,,,,
233,"444381,95","4474904,65",44181,15  CIUDAD LINEAL,15-01 VENTAS,12,BiciMAD,24,40.4229144,-3.655633,"MARQUES DE CORBERA, AVENIDA, DEL, 12",,,,,,,
234,"444767,03","4475262,41",44181,15  CIUDAD LINEAL,15-01 VENTAS,52,BiciMAD,24,40.426163,-3.651125,"MARQUES DE CORBERA, AVENIDA, DEL, 52",,,,,,,
235,"441336,7","4471161,52",44181,02  ARGANZUELA,02-04 LEGAZPI,1 B,BiciMAD,24,40.3889853,-3.6911834,"SODIO, CALLE, DEL, 1 B",,,,,,,
236,"439149,84","4473225,71",44181,02  ARGANZUELA,02-01 IMPERIAL,20,BiciMAD,24,40.4074236,-3.7171449,"IMPERIAL, PASEO, 20",,,,,,,
237,"439751,68","4478101,98",44181,06  TETUÁN,06-01 BELLAS VISTAS,S/N,BiciMAD,24,40.451395,-3.7105146,"FRANCISCO BALSEIRO, CALLE, DE, S/N",,,,,,,
238,"441220,07","4478625,73",44181,06  TETUÁN,06-02 CUATRO CAMINOS,5,BiciMAD,24,40.4562183,-3.6932474,"SAN GERMÁN, CALLE, DE, 5",,,,,,,
239,"439975,8","4478692,91",44181,06  TETUÁN,06-06 BERRUGUETE,62,BiciMAD,24,40.4567345,-3.7079276,"FRANCOS RODRIGUEZ, CALLE, DE, 62",,,,,,,
240,"443939,09","4476439,76",44194,04  SALAMANCA,04-04 GUINDALERA,frente al 9,BiciMAD,24,40.4367138,-3.6609886,"BRASILIA, AVENIDA, DE, frente al 9",,,,,,,
241,"443363,99","4476559,86",44194,04  SALAMANCA,04-04 GUINDALERA,23,BiciMAD,24,40.4377568,-3.6677796,"CAMILO JOSE CELA, AVENIDA, DE, 23",,,,,,,
242,"443778,78","4476746,49",44194,04  SALAMANCA,04-04 GUINDALERA,56,BiciMAD,24,40.4394662,-3.6629058,"BRUSELAS, AVENIDA, DE, 56",,,,,,,
243,"443165,91","4476273,63",44194,04  SALAMANCA,04-04 GUINDALERA,38,BiciMAD,24,40.4351648,-3.6700894,"CARTAGENA, CALLE, DE, 38",,,,,,,
244,"439144,97","4476825,45",44194,07  CHAMBERÍ,07-06 VALLEHERMOSO,44,BiciMAD,24,40.4398513,-3.7175468,"ISAAC PERAL, CALLE, DE, 44",,,,,,,
245,"439767,36","4476444,58",44194,07  CHAMBERÍ,07-02 ARAPILES,63,BiciMAD,24,40.4364656,-3.7101726,"GALILEO, CALLE, DE, 63",,,,,,,
246,"440693,2","4476388,4",44194,07  CHAMBERÍ,07-03 TRAFALGAR,87,BiciMAD,24,40.436026,-3.699252,"SANTA ENGRACIA, CALLE, DE, 87",,,,,,,
247,"441238,82","4476643,99",44194,07  CHAMBERÍ,07-05 RÍOS ROSAS,90,BiciMAD,24,40.4383672,-3.692843,"ZURBANO, CALLE, DE, 90",,,,,,,
248,"441694,11","4480631,92",44194,08  FUENCARRAL-EL PARDO,08-05 LA PAZ,2,BiciMAD,24,40.4743243,-3.6878414,"SINESIO DELGADO, CALLE, DE, 2",,,,,,,
249,"441914,27","4481195,42",44194,05  CHAMARTÍN,05-06 CASTILLA,frente al 298,BiciMAD,24,40.4794159,-3.6852959,"CASTELLANA, PASEO, DE LA, frente al 298",,,,,,,
250,"441812,82","4476911,24",44194,05  CHAMARTÍN,05-01 EL VISO,113 b,BiciMAD,24,40.4408151,-3.6861,"SERRANO, CALLE, DE, 113 b",,,,,,,
251,"443447,95","4477272,58",44194,05  CHAMARTÍN,05-02 PROSPERIDAD,31,BiciMAD,24,40.444183,-3.6668532,"SANTA HORTENSIA, CALLE, DE, 31",,,,,,,
252,"442025,04","4480322,99",44194,05  CHAMARTÍN,05-06 CASTILLA,S/N,BiciMAD,24,40.4715645,-3.6839094,"RODRIGUEZ JAEN, CALLE, DE, S/N",,,,,,,
253,"441626,91","4478554,58",44194,05  CHAMARTÍN,05-04 HISPANOAMÉRICA,7,BiciMAD,24,40.455606,-3.688443,"DOCTOR FLEMING, CALLE, DEL, 7",,,,,,,
254,"442639,53","4479150,36",44194,05  CHAMARTÍN,05-05 NUEVA ESPAÑA,3,BiciMAD,24,40.4610436,-3.6765549,"PIO XII, AVENIDA, DE, 3",,,,,,,
255,"441910,45","4479454,04",44194,05  CHAMARTÍN,05-05 NUEVA ESPAÑA,2,BiciMAD,24,40.4637286,-3.6851815,"GENERAL LOPEZ POZAS, CALLE, DEL, 2",,,,,,,
256,"439465,58","4477545,36",44194,09  MONCLOA-ARAVACA,09-03 CIUDAD UNIVERSITARIA,frente al 2,BiciMAD,24,40.4463599,-3.7138353,"BEATRIZ DE BOBADILLA, CALLE, DE, frente al 2",,,,,,,
257,"438063,25","4476718,06",44194,09  MONCLOA-ARAVACA,09-03 CIUDAD UNIVERSITARIA,1,BiciMAD,24,40.438804,-3.73029,"JUAN DE HERRERA, AVENIDA, DE, 1",,,,,,,
258,"438326,14","4477849,84",44194,09  MONCLOA-ARAVACA,09-03 CIUDAD UNIVERSITARIA,frente al 14,BiciMAD,24,40.449019,-3.7273004,"COMPLUTENSE, AVENIDA, frente al 14",,,,,,,
259,"438344,78","4477338,89",44194,09  MONCLOA-ARAVACA,09-03 CIUDAD UNIVERSITARIA,S/N,BiciMAD,24,40.4444176,-3.727031,"RAMON Y CAJAL, PLAZA, DE, S/N",,,,,,,
260,"438328,53","4477762,41",44194,09  MONCLOA-ARAVACA,09-03 CIUDAD UNIVERSITARIA,S/N,BiciMAD,24,40.4482316,-3.7272637,"JOSE ANTONIO NOVAIS, CALLE, DE, S/N",,,,,,,
261,"438161,53","4478015,95",44194,09  MONCLOA-ARAVACA,09-03 CIUDAD UNIVERSITARIA,frente al 7,BiciMAD,24,40.4505032,-3.7292576,"COMPLUTENSE, AVENIDA, frente al 7",,,,,,,
70200,,,,,,,,,"40,534668","-3,2985719","CALLE FRANCISCO ARITIO, S/N",19004,Guadalajara,Guadalajara,https://data.renfe.com/files/estaciones/FichaEstacion70200.pdf,,,
70105,,,,,,,,,"40,56104","-3,265446","PASEO ESTACION FERROCARRIL, S/N",19200,Azuqueca de Henares,Guadalajara,https://data.renfe.com/files/estaciones/FichaEstacion70105.pdf,,,
70108,,,,,,,,,"40,4241947","-3,5602359","CALLE DOCTOR FLEMING, S/N",21820,Coslada,Madrid,https://data.renfe.com/files/estaciones/FichaEstacion70108.pdf,,,
18001,,,,,,,,,"40,423371","-3,690995","PASEO DE RECOLETOS, S/N",28001,Madrid,Madrid,https://data.renfe.com/files/estaciones/FichaEstacion18001.pdf,,,
18005,,,,,,,,,"40,402516","-3,711374","PASEO DE LAS ACACIAS - DOCTOR VALLEJO NAJERA, S/N",28005,Madrid,Madrid,https://data.renfe.com/files/estaciones/FichaEstacion18005.pdf,,,
10000,,,,,,,,,"40,421389","-3,718968","PASEO DE LA FLORIDA, 2",28008,Madrid,Madrid,https://data.renfe.com/files/estaciones/FichaEstacion10000.pdf,,,
35609,,,,,,,,,"40,404609","-3,702592","GLORIETA EMBAJADORES, 6",28012,Madrid,Madrid,https://data.renfe.com/files/estaciones/FichaEstacion35609.pdf,,,
18101,,,,,,,,,"40,416856","-3,702904","PUERTA DEL SOL, S/N",28013,Madrid,Madrid,https://data.renfe.com/files/estaciones/FichaEstacion18101.pdf,,,
70002,,,,,,,,,"40,3814976","-3,667215","AVENIDA DE ENTREVIAS, S/N",28018,Madrid,Madrid,https://data.renfe.com/files/estaciones/FichaEstacion70002.pdf,,,
37001,,,,,,,,,"40,341622","-3,712565","CALLE DOMINGO PARRAGA, 42",28021,Madrid,Madrid,https://data.renfe.com/files/estaciones/FichaEstacion37001.pdf,,,
60100,,,,,,,,,"40,3555397","-3,6832514","CALLE ESTACION FERROCARRIL, S/N",28021,Madrid,Madrid,https://data.renfe.com/files/estaciones/FichaEstacion60100.pdf,,,
60101,,,,,,,,,"40,3320318","-3,6963666","CALLE TRANSVERSAL SEXTA, S/N (POLIGONO INDUSTRIAL DE VILLAVERDE)",28021,Madrid,Madrid,https://data.renfe.com/files/estaciones/FichaEstacion60101.pdf,,,
60107,,,,,,,,,"40,3419854","-3,683232","CARRETERA DE ANDALUCIA, KM 10.700",28021,Madrid,Madrid,https://data.renfe.com/files/estaciones/FichaEstacion60107.pdf,,,
10001,,,,,,,,,"40,448345","-3,786191","AVENIDA DEL TALGO - CALLE DE LAS ROSAS, S/N",28023,Madrid,Madrid,https://data.renfe.com/files/estaciones/FichaEstacion10001.pdf,,,
35603,,,,,,,,,"40,377714","-3,791574","CALLE ROBERT DE CAPA, 26",28024,Madrid,Madrid,https://data.renfe.com/files/estaciones/FichaEstacion35603.pdf,,,
35702,,,,,,,,,"40,379224","-3,698976","CALLE TOMELLOSO, 59",28026,Madrid,Madrid,https://data.renfe.com/files/estaciones/FichaEstacion35702.pdf,,,
70001,,,,,,,,,"40,382264","-3,624931","Avenida de la Democracia, 1",28031,Madrid,Madrid,https://data.renfe.com/files/estaciones/FichaEstacion70001.pdf,,,
70003,,,,,,,,,"40,3765168","-3,6564132","CAMINO DE HORMIGUERAS, S/N",28031,Madrid,Madrid,https://data.renfe.com/files/estaciones/FichaEstacion70003.pdf,,,
70109,,,,,,,,,"40,3877971","-3,6087501","AVENIDA SANTA EUGENIA, 9",28031,Madrid,Madrid,https://data.renfe.com/files/estaciones/FichaEstacion70109.pdf,,,
17001,,,,,,,,,"40,5024656","-3,6817503","CALLE ANTONIO CABEZON, S/N",28034,Madrid,Madrid,https://data.renfe.com/files/estaciones/FichaEstacion17001.pdf,,,
97200,,,,,,,,,"40,499759","-3,709755","CALLE DEL MONASTERIO DE LA HUELGAS, S/N",28034,Madrid,Madrid,https://data.renfe.com/files/estaciones/FichaEstacion97200.pdf,,,
97201,,,,,,,,,"40,4880223","-3,6935145","CARRETERA M-607 A COLMENAR, KM. 6.100",28034,Madrid,Madrid,https://data.renfe.com/files/estaciones/FichaEstacion97201.pdf,,,
97100,,,,,,,,,"40,4956316","-3,7256015","CALLE GLORIA FUERTES, S/N",28035,Madrid,Madrid,https://data.renfe.com/files/estaciones/FichaEstacion97100.pdf,,,
17000,,,,,,,,,"40,4732797","-3,6818974","CALLE AGUSTIN DE FOXA, S/N",28036,Madrid,Madrid,,,,
35703,,,,,,,,,"40,367081","-3,704244","CALLE CAMPOTEJAR, 25",28041,Madrid,Madrid,https://data.renfe.com/files/estaciones/FichaEstacion35703.pdf,,,
35704,,,,,,,,,"40,350418","-3,705122","CALLE ALCOCER, 54",28041,Madrid,Madrid,https://data.renfe.com/files/estaciones/FichaEstacion35704.pdf,,,
98305,,,,,,,,,"40,491691","-3,593988",CARRETERA M-12 - TERMINAL AEROPUERTO T4 - BARAJAS,28042,Madrid,Madrid,https://data.renfe.com/files/estaciones/FichaEstacion98305.pdf,,,
35601,,,,,,,,,"40,38367","-3,768496","AVENIDA DE LAS AGUILAS, 25",28044,Madrid,Madrid,https://data.renfe.com/files/estaciones/FichaEstacion35601.pdf,,,
35602,,,,,,,,,"40,381009","-3,780187","AVENIDA DE LAS AGUILAS, 144",28044,Madrid,Madrid,https://data.renfe.com/files/estaciones/FichaEstacion35602.pdf,,,
18000,,,,,,,,,"40,406556","-3,689508","PLAZA DEL EMPERADOR CARLOS V, S/N",28045,Madrid,Madrid,https://data.renfe.com/files/estaciones/FichaEstacion18000.pdf,,,
18003,,,,,,,,,"40,395419","-3,678137","CALLE DEL OMBU, S/N",28045,Madrid,Madrid,https://data.renfe.com/files/estaciones/FichaEstacion18003.pdf,,,
18004,,,,,,,,,"40,400381","-3,692712","PASEO DE LAS DELICIAS, 61",28045,Madrid,Madrid,https://data.renfe.com/files/estaciones/FichaEstacion18004.pdf,,,
35701,,,,,,,,,"40,395735","-3,677847","CALLE PEDRO BOSCH, S/N",28045,Madrid,Madrid,https://data.renfe.com/files/estaciones/FichaEstacion35701.pdf,,,
18002,,,,,,,,,"40,446612","-3,692207","CALLE RAIMUNDO FERNANDEZ VILLAVERDE, 69",28046,Madrid,Madrid,https://data.renfe.com/files/estaciones/FichaEstacion18002.pdf,,,
35600,,,,,,,,,"40,385738","-3,760807","AVENIDA DE LOS POBLADOS, S/N",28047,Madrid,Madrid,https://data.renfe.com/files/estaciones/FichaEstacion35600.pdf,,,
35608,,,,,,,,,"40,399006","-3,744225","CALLE ALHAMBRA, S/N",28047,Madrid,Madrid,https://data.renfe.com/files/estaciones/FichaEstacion35608.pdf,,,
17003,,,,,,,,,"40,558808","-3,713966","CARRETERA COLMENAR VIEJO, KM 18",28049,Madrid,Madrid,https://data.renfe.com/files/estaciones/FichaEstacion17003.pdf,,,
17009,,,,,,,,,"40,543818","-3,700217","CARRETERA M-607 DE COLMENAR VIEJO KM 15.600 - ESTACION FERROCARRIL, S/N",28049,Madrid,Madrid,https://data.renfe.com/files/estaciones/FichaEstacion17009.pdf,,,
19001,,,,,,,,,"40,55412","-3,683267","CARRETERA M-616 - ESTACION FERROCARRIL, S/N",28049,Alcobendas,Madrid,https://data.renfe.com/files/estaciones/FichaEstacion19001.pdf,,,
98003,,,,,,,,,"40,484729","-3,662833","CALLE DULCE CHACON, S/N",28050,Madrid,Madrid,https://data.renfe.com/files/estaciones/FichaEstacion98003.pdf,,,
70100,,,,,,,,,"40,401043","-3,5952733","CALLE SAN CIPRIANO, 85",28052,Madrid,Madrid,https://data.renfe.com/files/estaciones/FichaEstacion70100.pdf,,,
98304,,,,,,,,,"40,48207","-3,616414","AVENIDA DE LAS FUERZAS ARMADAS, S/N",28055,Madrid,Madrid,https://data.renfe.com/files/estaciones/FichaEstacion98304.pdf,,,
19002,,,,,,,,,"40,547425","-3,654149","CALLE MARQUES DE LA VALDAVIA, S/N",28100,Alcobendas,Madrid,https://data.renfe.com/files/estaciones/FichaEstacion19002.pdf,,,
19003,,,,,,,,,"40,546744","-3,635149","AVENIDA DE ESPAÑA, 52",28100,San Sebastián de los Reyes,Madrid,https://data.renfe.com/files/estaciones/FichaEstacion19003.pdf,,,
10007,,,,,,,,,"40,474347","-3,845334","CARRETERA DEL PLANTIO, S/N",28221,Majadahonda,Madrid,https://data.renfe.com/files/estaciones/FichaEstacion10007.pdf,,,
10002,,,,,,,,,"40,447225","-3,800145","CALLE ANTONIO DIAZ, 1",28224,Pozuelo de Alarcón,Madrid,https://data.renfe.com/files/estaciones/FichaEstacion10002.pdf,,,
10010,,,,,,,,,"40,465299","-3,807828","CALLE RAFAEL BOTI, 62",28224,Pozuelo de Alarcón,Madrid,https://data.renfe.com/files/estaciones/FichaEstacion10010.pdf,,,
10005,,,,,,,,,"40,494215","-3,868181","CALLE SAN SEBASTIAN, S/N",28230,"Rozas de Madrid, Las",Madrid,https://data.renfe.com/files/estaciones/FichaEstacion10005.pdf,,,
10100,,,,,,,,,"40,522282","-3,882258","AVENIDA DE LOS BOMBEROS, S/N",28230,"Rozas de Madrid, Las",Madrid,https://data.renfe.com/files/estaciones/FichaEstacion10100.pdf,,,
10103,,,,,,,,,"40,574559","-3,956577","PLAZA SALVADOR SANCHEZ FRASCUELO, 1",28250,Torrelodones,Madrid,https://data.renfe.com/files/estaciones/FichaEstacion10103.pdf,,,
10203,,,,,,,,,"40,585279","-4,132418","CALLE SANTA ROSA, 85",28280,"Escorial, El",Madrid,https://data.renfe.com/files/estaciones/FichaEstacion10203.pdf,,,
10101,,,,,,,,,"40,552415","-3,896791","PLAZA DEL FERROCARRIL, S/N",28290,"Rozas de Madrid, Las",Madrid,https://data.renfe.com/files/estaciones/FichaEstacion10101.pdf,,,
10201,,,,,,,,,"40,617864","-4,031106","AVENIDA SALTOS DEL SIL, 1",28292,Galapagar,Madrid,https://data.renfe.com/files/estaciones/FichaEstacion10201.pdf,,,
10202,,,,,,,,,"40,609265","-4,046336","CALLE ESTACION FERROCARRIL, S/N",28292,"Escorial, El",Madrid,https://data.renfe.com/files/estaciones/FichaEstacion10202.pdf,,,
60200,,,,,,,,,"40,0347255","-3,6182069","PASEO ESTACION FERROCARRIL, S/N",28300,Aranjuez,Madrid,https://data.renfe.com/files/estaciones/FichaEstacion60200.pdf,,,
