Identificador,Gis_X,Gis_Y,Fecha de Alta,Distrito,Barrio,Nº Finca,Tipo de Reserva,Puestos,LATITUD,LONGITUD,DIRECCIÓN,C.P.,POBLACION,PROVINCIA,Fichas,Línea / Batería,LongitudP,Horario
02.25,"441222,9500000000","4473165,2300000000",41561,02  ARGANZUELA,02-07 ATOCHA,1,Taxi,5,40.4070277,-3.6927085,"MENDEZ ALVARO, CALLE, DE, 1",,,,,Línea,"25,00",
02.26,"442314,0600000000","4471400,1900000000",42021,02  ARGANZUELA,02-04 LEGAZPI,13,Taxi,3,40.3912036,-3.6796904,"TITAN, CALLE, DE, 13",,,,,Línea,"15,00",
02.27,"442406,5800000000","4471767,2300000000",43522,02  ARGANZUELA,02-07 ATOCHA,Frente 83,Taxi,14,40.3945165,-3.6786335,"MENDEZ ALVARO, CALLE, DE, Frente 83",,,,,Línea,"70,00",
03.07,"442659,2300000000","4474412,1300000000",1,03  RETIRO,03-04 IBIZA,21,Taxi,4,40.4183606,-3.675895,"IBIZA, CALLE, DE, 21",,,,,Línea,"19,70",
03.09,"442546,7300000000","4473952,4100000000",44176,03  RETIRO,03-06 NIÑO JESÚS,65,Taxi,11,40.4142115,-3.6771794,"MENENDEZ PELAYO, AVENIDA, DE, 65",,,,,Línea,"55,00",
03.10,"442658,1500000000","4474727,7000000000",39793,03  RETIRO,03-04 IBIZA,29,Taxi,4,40.4212034,-3.6759362,"NARVAEZ, CALLE, DE, 29",,,,,Línea,"20,00",
03.11,"441261,9700000000","4474191,7500000000",1,03  RETIRO,03-05 JERÓNIMOS,2,Taxi,6,40.4162779,-3.6923435,"LEALTAD, PLAZA, DE LA, 2",,,,,Batería,"30,20",
03.13,"442647,2900000000","4473055,7400000000",1,03  RETIRO,03-01 PACÍFICO,21,Taxi,2,40.4061407,-3.6759134,"CAVANILLES, CALLE, DE, 21",,,,,Línea,"11,20",
03.15,"442968,1100000000","4474607,0200000000",43083,03  RETIRO,03-04 IBIZA,54,Taxi,8,40.4201375,-3.6722718,"DOCTOR CASTELO, CALLE, DEL, 54",,,,,Línea,"42,40",
03.16,"443352,5100000000","4473848,6100000000",42021,03  RETIRO,03-03 ESTRELLA,13,Taxi,2,40.4133316,-3.6676734,"PEZ VOLADOR, CALLE, DEL, 13",,,,,Línea,"10,00",
03.18,"443210,2600000000","4474446,9700000000",36684,03  RETIRO,03-04 IBIZA,46,Taxi,8,40.4187123,-3.6694033,"DOCTOR ESQUERDO, CALLE, DEL, 46",,,,,Línea,"39,30",
