ID,Gis_X,Gis_Y,FechadeAlta,Distrito,Barrio,NFinca,TipodeReserva,LineaBateria,NumerodePlazas,LongitudP,Longitud,Latitud,Direccion
21.07,"447816,7500000000","4479156,4400000000",38384,BARAJAS,CORRALEJOS,4,Taxi,Línea,5,"25,00",-3.6154947,40.4614396,"CAPITAL DE ESPAÑA MADRID, AVENIDA, DE LA, 4"
21.07.1,"447805,3300000000","4479221,0900000000",38384,BARAJAS,CORRALEJOS,6,Taxi,Línea,1,"6,00",-3.6156347,40.4620213,"CAPITAL DE ESPAÑA MADRID, AVENIDA, DE LA, 6"
21.08,"447712,4400000000","4479380,5900000000",39982,BARAJAS,CORRALEJOS,10,Taxi,Línea,6,"32,00",-3.6167434,40.4634523,"PARTENON, AVENIDA, DEL, 10"
21.09,"449606,4100000000","4477999,2900000000",38418,BARAJAS,ALAMEDADEOSUNA,3,Taxi,Línea,3,"17,00",-3.5942951,40.4511258,"OBENQUE, CALLE, DEL, 3"
21.1,"447378,5600000000","4479232,9300000000",40910,BARAJAS,CORRALEJOS,S/N,Taxi,Línea,15,"75,00",-3.6206692,40.462101,"RIBERA DEL LOIRA, CALLE, DE LA, S/N"
21.11,"447631,9600000000","4479019,9600000000",40910,BARAJAS,CORRALEJOS,S/N,Taxi,Línea,12,"60,00",-3.6176629,40.4601985,"RIBERA DEL LOIRA, CALLE, DE LA, S/N"
21.12,"451626,6700000000","4479403,1100000000",38322,BARAJAS,AEROPUERTO,T1,Taxi,Línea,404,"359,30",-3.5705782,40.4638923,"BARAJAS, AEROPUERTO, DE, T1"
21.13,"451700,7000000000","4479900,2200000000",38322,BARAJAS,AEROPUERTO,T2y3,Taxi,Línea,1200,"6000,00",-3.5697429,40.4683749,"BARAJAS, AEROPUERTO, DE, T2y3"
21.14,"449725,2800000000","4482457,8300000000",38776,BARAJAS,TIMÓN,T4,Taxi,Línea,1360,"266,30",-3.5932467,40.4912981,"BARAJAS, AEROPUERTO, DE, T4"
21.15,"450666,0200000000","4480726,4000000000",40557,BARAJAS,CASCOHISTÓRICODEBARAJAS,18,Taxi,Línea,3,"19,50",-3.5820117,40.4757568,"PAJARONES, CALLE, DE LOS, 18"
21.16,"450779,4700000000","4480114,0200000000",40480,BARAJAS,CASCOHISTÓRICODEBARAJAS,36,Taxi,Línea,2,"13,00",-3.5806258,40.4702469,"GENERAL, AVENIDA, 36"
21.17,"447124,9400000000","4479582,8300000000",40910,BARAJAS,CORRALEJOS,20,Taxi,Línea,8,"40,00",-3.6236896,40.465237,"RIBERA DEL LOIRA, CALLE, DE LA, 20"
21.18,"448332,5200000000","4481512,3600000000",44273,BARAJAS,TIMÓN,S/N,Taxi,Batería,5,"15,00",-3.6096035,40.4826953,"FUERZAS ARMADAS, AVENIDA, DE LAS, S/N"
21.19,"448792,6700000000","4481706,0700000000",44273,BARAJAS,TIMÓN,S/N,Taxi,Batería,15,"45,00",-3.6041903,40.4844688,"JULIO CANO LASSO, CALLE, DE, S/N"
