CODIGO,DESCRIPCION,SameAs_Wikidata_DESCRIPCION,LATITUD,LONGITUD,DIRECCION,C.P.,POBLACION,SameAs_Wikidata_POBLACION,PROVINCIA,SameAs_Wikidata_PROVINCIA,Fichas
10202,Q8840897,https://wikidata.org/entity/Q8840897,"40,609265","-4,046336","CALLE ESTACION FERROCARRIL, S/N",28292,El Escorial,https://wikidata.org/entity/Q985269,Madrid Province,https://wikidata.org/entity/Q24004405,https://data.renfe.com/files/estaciones/FichaEstacion10202.pdf
60200,Aranjuez railway station,https://wikidata.org/entity/Q3394535,"40,0347255","-3,6182069","PASEO ESTACION FERROCARRIL, S/N",28300,Aranjuez,https://wikidata.org/entity/Q486792,Madrid Province,https://wikidata.org/entity/Q24004405,https://data.renfe.com/files/estaciones/FichaEstacion60200.pdf
60103,Pinto train station,https://wikidata.org/entity/Q10276290,"40,2429829","-3,7036534","CALLE CRISTO, S/N",28320,Pinto,https://wikidata.org/entity/Q909718,Madrid Province,https://wikidata.org/entity/Q24004405,https://data.renfe.com/files/estaciones/FichaEstacion60103.pdf
60104,Valdemoro train station,https://wikidata.org/entity/Q5847404,"40,1958184","-3,6646737","PLAZA ESTACION FERROCARRIL, S/N",28340,Valdemoro,https://wikidata.org/entity/Q840373,Madrid Province,https://wikidata.org/entity/Q24004405,https://data.renfe.com/files/estaciones/FichaEstacion60104.pdf
60105,Ciempozuelos train station,https://wikidata.org/entity/Q5846048,"40,1590641","-3,610221","AVENIDA DE SAN JUAN DE DIOS, S/N",28350,Ciempozuelos,https://wikidata.org/entity/Q1751930,Madrid Province,https://wikidata.org/entity/Q24004405,https://data.renfe.com/files/estaciones/FichaEstacion60105.pdf
10200,Villalba train station,https://wikidata.org/entity/Q931922,"40,626522","-4,00812","PLAZA ESTACION FERROCARRIL, S/N",28400,Collado Villalba,https://wikidata.org/entity/Q735759,Madrid Province,https://wikidata.org/entity/Q24004405,https://data.renfe.com/files/estaciones/FichaEstacion10200.pdf
12001,Estación de Los Negrales,https://wikidata.org/entity/Q5846633,"40,63856","-4,021915","CALLE PARALELA, 11",28409,Alpedrete,https://wikidata.org/entity/Q947926,Madrid Province,https://wikidata.org/entity/Q24004405,https://data.renfe.com/files/estaciones/FichaEstacion12001.pdf
10104,Galapagar-La Navata station,https://wikidata.org/entity/Q2085120,"40,600159","-3,981913","CARRETERA DE GALAPAGAR A LA NAVATA, S/N",28420,Galapagar,https://wikidata.org/entity/Q1615953,Madrid Province,https://wikidata.org/entity/Q24004405,https://data.renfe.com/files/estaciones/FichaEstacion10104.pdf
12002,Estación de Alpedrete,https://wikidata.org/entity/Q5845680,"40,658096","-4,034996","CAMINO DE LA ESTACION, 34",28439,Alpedrete,https://wikidata.org/entity/Q947926,Madrid Province,https://wikidata.org/entity/Q24004405,https://data.renfe.com/files/estaciones/FichaEstacion12002.pdf
12004,Estación de Collado Mediano,https://wikidata.org/entity/Q5846071,"40,692757","-4,035894","CALLE REAL, 73",28450,Collado Mediano,https://wikidata.org/entity/Q1751903,Madrid Province,https://wikidata.org/entity/Q24004405,https://data.renfe.com/files/estaciones/FichaEstacion12004.pdf
