ID,Gis_X,Gis_Y,FechadeAlta,Distrito,SameAs_Wikidata_Distrito,Barrio,SameAs_Wikidata_Barrio,NFinca,TipodeReserva,SameAs_Wikidata_TipodeReserva,NumerodePlazas,Longitud,Latitud,Direccion
67,"441190,08","4473587,45",41813,Centro,https://wikidata.org/entity/Q1763376,Cortes,https://wikidata.org/entity/Q2535637,28,BiciMAD,https://wikidata.org/entity/Q17402113,24,-36.931.349,40.410.829,"ALMADEN, CALLE, DE, 28"
68,"441358,92","4473802,81",41813,Retiro,https://wikidata.org/entity/Q2002296,Jerónimos,https://wikidata.org/entity/Q10306766,1,BiciMAD,https://wikidata.org/entity/Q17402113,21,-36.911.649,40.412.781,"ESPALTER, CALLE, DE, 1"
69,"441551,54","4473499,36",41813,Retiro,https://wikidata.org/entity/Q2002296,Jerónimos,https://wikidata.org/entity/Q10306766,54,BiciMAD,https://wikidata.org/entity/Q17402113,27,-36.888.669,404.100.609,"ALFONSO XII, CALLE, DE, 54"
70,"442494,99","4474064,79",41813,Retiro,https://wikidata.org/entity/Q2002296,Jerónimos,https://wikidata.org/entity/Q10306766,63,BiciMAD,https://wikidata.org/entity/Q17402113,24,-36.777.994,404.152.203,"MENENDEZ PELAYO, AVENIDA, DE, frente 63"
71,"442816,22","4474149,49",41813,Retiro,https://wikidata.org/entity/Q2002296,Niño Jesús,https://wikidata.org/entity/Q3773746,28,BiciMAD,https://wikidata.org/entity/Q17402113,24,-3.674.021,404.160.054,"DOCE DE OCTUBRE, CALLE, DEL, 28"
72,"443189,11","4474115,08",41813,Retiro,https://wikidata.org/entity/Q2002296,Niño Jesús,https://wikidata.org/entity/Q3773746,62,BiciMAD,https://wikidata.org/entity/Q17402113,24,-3.669.623,40.415.721,"DOCTOR ESQUERDO, CALLE, DEL, 62"
73,"443229,99","4473642,11",41813,Retiro,https://wikidata.org/entity/Q2002296,Estrella,https://wikidata.org/entity/Q3773738,S/N,BiciMAD,https://wikidata.org/entity/Q17402113,24,-3.669.099,40.411.463,"ASTROS, PLAZA, DE LOS, S/N"
74,"442595,78","4473679,92",41813,Retiro,https://wikidata.org/entity/Q2002296,Jerónimos,https://wikidata.org/entity/Q10306766,S/N,BiciMAD,https://wikidata.org/entity/Q17402113,24,-36.765.768,404.117.601,"MENENDEZ PELAYO, AVENIDA, DE, S/N"
75,"442436,91","4473301,34",41813,Retiro,https://wikidata.org/entity/Q2002296,Jerónimos,https://wikidata.org/entity/Q10306766,S/N,BiciMAD,https://wikidata.org/entity/Q17402113,24,-36.784.149,404.083.387,"MENENDEZ PELAYO, AVENIDA, DE, S/N"
76,"442712,67","4473182,27",41813,Retiro,https://wikidata.org/entity/Q2002296,Niño Jesús,https://wikidata.org/entity/Q3773746,19,BiciMAD,https://wikidata.org/entity/Q17402113,24,-36.751.544,404.072.851,"MEDITERRANEO, AVENIDA, DEL, 19"
77,"443083,53","4473073,95",41813,Retiro,https://wikidata.org/entity/Q2002296,Pacífico,https://wikidata.org/entity/Q3773753,8,BiciMAD,https://wikidata.org/entity/Q17402113,22,-36.707.742,404.063.347,"CONDE DE CASAL, PLAZA, DEL, 8"
78,"442755,86","4472436,57",41813,Retiro,https://wikidata.org/entity/Q2002296,Adelfas,https://wikidata.org/entity/Q3774001,2,BiciMAD,https://wikidata.org/entity/Q17402113,24,-36.745.783,404.005.704,"CERRO DE LA PLATA, CALLE, DEL, 2"
79,"442252,73","4472937,49",41813,Retiro,https://wikidata.org/entity/Q2002296,Pacífico,https://wikidata.org/entity/Q3773753,38,BiciMAD,https://wikidata.org/entity/Q17402113,24,-36.805.524,404.050.482,"MENENDEZ PELAYO, AVENIDA, DE, 38"
80,"441412,24","4473206,43",41813,Arganzuela,https://wikidata.org/entity/Q2000929,Atocha,https://wikidata.org/entity/Q3814594,S/N,BiciMAD,https://wikidata.org/entity/Q17402113,24,-36.904.816,404.074.122,"CIUDAD DE BARCELONA, AVENIDA, DE LA, S/N"
80.1,"441391,88","4473230,32",41813,Arganzuela,https://wikidata.org/entity/Q2000929,Atocha,https://wikidata.org/entity/Q3814594,S/N,BiciMAD,https://wikidata.org/entity/Q17402113,27,-36.907.238,40.407.626,"CIUDAD DE BARCELONA, AVENIDA, DE LA, S/N"
81,"441288,14","4473447,57",41813,Retiro,https://wikidata.org/entity/Q2002296,Jerónimos,https://wikidata.org/entity/Q10306766,S/N,BiciMAD,https://wikidata.org/entity/Q17402113,24,-36.919.663,404.095.758,"CLAUDIO MOYANO, CALLE, DE, S/N"
