id;Gis_X;Gis_Y;FechadeAlta;Distrito;Barrio;Calle;NFinca;TipodeReserva;NumerodePlazas;Longitud;Latitud;Direccion
70;442494,99;4474064,79;41813;03  RETIRO;03-05 JERÓNIMOS;MENENDEZ PELAYO, AVENIDA, DE;frente 63;BiciMAD;24;-36.777.994;404.152.203;MENENDEZ PELAYO, AVENIDA, DE, frente 63
71;442816,22;4474149,49;41813;03  RETIRO;03-06 NIÑO JESÚS;DOCE DE OCTUBRE, CALLE, DEL;28;BiciMAD;24;-3.674.021;404.160.054;DOCE DE OCTUBRE, CALLE, DEL, 28
72;443189,11;4474115,08;41813;03  RETIRO;03-06 NIÑO JESÚS;DOCTOR ESQUERDO, CALLE, DEL;62;BiciMAD;24;-3.669.623;40.415.721;DOCTOR ESQUERDO, CALLE, DEL, 62
73;443229,99;4473642,11;41813;03  RETIRO;03-03 ESTRELLA;ASTROS, PLAZA, DE LOS;S/N;BiciMAD;24;-3.669.099;40.411.463;ASTROS, PLAZA, DE LOS, S/N
74;442595,78;4473679,92;41813;03  RETIRO;03-05 JERÓNIMOS;MENENDEZ PELAYO, AVENIDA, DE;S/N;BiciMAD;24;-36.765.768;404.117.601;MENENDEZ PELAYO, AVENIDA, DE, S/N
75;442436,91;4473301,34;41813;03  RETIRO;03-05 JERÓNIMOS;MENENDEZ PELAYO, AVENIDA, DE;S/N;BiciMAD;24;-36.784.149;404.083.387;MENENDEZ PELAYO, AVENIDA, DE, S/N
76;442712,67;4473182,27;41813;03  RETIRO;03-06 NIÑO JESÚS;MEDITERRANEO, AVENIDA, DEL;19;BiciMAD;24;-36.751.544;404.072.851;MEDITERRANEO, AVENIDA, DEL, 19
77;443083,53;4473073,95;41813;03  RETIRO;03-01 PACÍFICO;CONDE DE CASAL, PLAZA, DEL;8;BiciMAD;22;-36.707.742;404.063.347;CONDE DE CASAL, PLAZA, DEL, 8
78;442755,86;4472436,57;41813;03  RETIRO;03-02 ADELFAS;CERRO DE LA PLATA, CALLE, DEL;2;BiciMAD;24;-36.745.783;404.005.704;CERRO DE LA PLATA, CALLE, DEL, 2
79;442252,73;4472937,49;41813;03  RETIRO;03-01 PACÍFICO;MENENDEZ PELAYO, AVENIDA, DE;38;BiciMAD;24;-36.805.524;404.050.482;MENENDEZ PELAYO, AVENIDA, DE, 38
080 a;441412,24;4473206,43;41813;02  ARGANZUELA;02-07 ATOCHA;CIUDAD DE BARCELONA, AVENIDA, DE LA;S/N;BiciMAD;24;-36.904.816;404.074.122;CIUDAD DE BARCELONA, AVENIDA, DE LA, S/N
080 b;441391,88;4473230,32;41813;02  ARGANZUELA;02-07 ATOCHA;CIUDAD DE BARCELONA, AVENIDA, DE LA;S/N;BiciMAD;27;-36.907.238;40.407.626;CIUDAD DE BARCELONA, AVENIDA, DE LA, S/N
81;441288,14;4473447,57;41813;03  RETIRO;03-05 JERÓNIMOS;CLAUDIO MOYANO, CALLE, DE;S/N;BiciMAD;24;-36.919.663;404.095.758;CLAUDIO MOYANO, CALLE, DE, S/N
82;443177,93;4473311,29;41813;03  RETIRO;03-03 ESTRELLA;LIRA, CALLE, DE LA;frente 2;BiciMAD;24;-3.669.683;404.084.793;LIRA, CALLE, DE LA, frente 2
83;442770,38;4473844,96;41813;03  RETIRO;03-06 NIÑO JESÚS;PIO BAROJA, CALLE, DE;8 B;BiciMAD;24;-36.745.339;404.132.589;PIO BAROJA, CALLE, DE, 8 B
84;442918,27;4472746,05;41813;03  RETIRO;03-02 ADELFAS;DOCTOR ESQUERDO, CALLE, DEL;191;BiciMAD;24;-36.726.923;404.033.695;DOCTOR ESQUERDO, CALLE, DEL, 191
85;442319,29;4474723,43;41813;03  RETIRO;03-05 JERÓNIMOS;MENENDEZ PELAYO, AVENIDA, DE;frente 9;BiciMAD;27;-36.799.299;404.211.415;MENENDEZ PELAYO, AVENIDA, DE, frente 9
86;441180,29;4474447,71;41904;01  CENTRO;01-03 CORTES;PRADO, PASEO, DEL;S/N;BiciMAD;21;-36.933.298;404.185.779;PRADO, PASEO, DEL, S/N
87;442016,68;4475450,66;41813;04  SALAMANCA;04-01 RECOLETOS;AYALA, CALLE, DE;44;BiciMAD;24;-36.835.631;404.276.717;AYALA, CALLE, DE, 44
88;442004,11;4475843,28;41813;04  SALAMANCA;04-06 CASTELLANA;VELAZQUEZ, CALLE, DE;73;BiciMAD;24;-36.837.471;404.312.077;VELAZQUEZ, CALLE, DE, 73
89;442728,15;4475399,8;41813;04  SALAMANCA;04-02 GOYA;AYALA, CALLE, DE;102;BiciMAD;24;-36.751.716;404.272.628;AYALA, CALLE, DE, 102
90;442000,33;4475163,96;41813;04  SALAMANCA;04-01 RECOLETOS;GOYA, CALLE, DE;18;BiciMAD;24;-36.837.297;404.250.878;GOYA, CALLE, DE, 18
090 ampliacion;442014,61;4475162,88;43115;04  SALAMANCA;04-01 RECOLETOS;GOYA, CALLE, DE;20;BiciMAD;6;-36.835.613;404.250.791;GOYA, CALLE, DE, 20
91;442417,66;4475274,35;41813;04  SALAMANCA;04-02 GOYA;HERMOSILLA, CALLE, DE;73;BiciMAD;24;-36.788.203;404.261.113;HERMOSILLA, CALLE, DE, 73
92;441767,83;4475291,85;41813;04  SALAMANCA;04-01 RECOLETOS;CLAUDIO COELLO, CALLE, DE;45;BiciMAD;24;-36.864.821;404.262.237;CLAUDIO COELLO, CALLE, DE, 45
93;441518,8;4475235,48;41813;04  SALAMANCA;04-01 RECOLETOS;GOYA, CALLE, DE;3;BiciMAD;24;-36.894.124;404.256.984;GOYA, CALLE, DE, 3
94;441407,18;4474977,73;41813;04  SALAMANCA;04-01 RECOLETOS;RECOLETOS, PASEO, DE;22;BiciMAD;21;-36.907.044;404.233.686;RECOLETOS, PASEO, DE, 22
95;441721,55;4474897;41813;04  SALAMANCA;04-01 RECOLETOS;CLAUDIO COELLO, CALLE, DE;19;BiciMAD;24;-36.869.914;404.226.634;CLAUDIO COELLO, CALLE, DE, 19
96;442140,46;4474825,84;41813;04  SALAMANCA;04-01 RECOLETOS;ALCALA, CALLE, DE;111;BiciMAD;27;-36.820.471;404.220.516;ALCALA, CALLE, DE, 111
97;442301,64;4474872,66;41813;04  SALAMANCA;04-02 GOYA;MENENDEZ PELAYO, AVENIDA, DE;1;BiciMAD;27;-36.801.515;404.224.846;MENENDEZ PELAYO, AVENIDA, DE, 1
98;442705,5;4475058,99;41813;04  SALAMANCA;04-02 GOYA;FELIPE II, AVENIDA, DE;5;BiciMAD;24;-36.754.079;404.241.911;FELIPE II, AVENIDA, DE, 5
99;442829,62;4475270,48;41813;04  SALAMANCA;04-02 GOYA;ALCANTARA, CALLE, DE;2;BiciMAD;24;-36.739.638;404.261.048;ALCANTARA, CALLE, DE, 2
100;442835,81;4475123,85;41813;04  SALAMANCA;04-02 GOYA;GOYA, CALLE, DE;99;BiciMAD;24;-36.738.777;404.247.843;GOYA, CALLE, DE, 99
101;443212,16;4474936,49;41813;04  SALAMANCA;04-02 GOYA;JORGE JUAN, CALLE, DE;131;BiciMAD;24;-36.694.246;404.231.223;JORGE JUAN, CALLE, DE, 131
102;441967,18;4474727,67;41813;04  SALAMANCA;04-01 RECOLETOS;ALCALA, CALLE, DE;95;BiciMAD;24;-36.840.806;404.211.552;ALCALA, CALLE, DE, 95
103;441766,91;4475752,49;41813;04  SALAMANCA;04-06 CASTELLANA;JOSE ORTEGA Y GASSET, CALLE, DE;4;BiciMAD;24;-36.865.351;404.303.733;JOSE ORTEGA Y GASSET, CALLE, DE, 4
104;441505,58;4475354,07;41813;04  SALAMANCA;04-01 RECOLETOS;CASTELLANA, PASEO, DE LA;4;BiciMAD;21;-36.895.792;404.267.658;CASTELLANA, PASEO, DE LA, 4
105;441684,37;4475386,27;41813;04  SALAMANCA;04-01 RECOLETOS;SERRANO, CALLE, DE;46;BiciMAD;24;-36.874.745;404.270.684;SERRANO, CALLE, DE, 46
106 a;441647,49;4475141,87;41782;04  SALAMANCA;04-01 RECOLETOS;SERRANO, CALLE, DE;32;BiciMAD;18;-36.878.868;404.248.642;SERRANO, CALLE, DE, 32
106 b;441649,86;4475157,87;41813;04  SALAMANCA;04-01 RECOLETOS;SERRANO, CALLE, DE;34;BiciMAD;18;-36.878.604;404.250.085;SERRANO, CALLE, DE, 34
107;441599,07;4474779,37;41813;04  SALAMANCA;04-01 RECOLETOS;SERRANO, CALLE, DE;8;BiciMAD;24;-36.884.243;404.215.952;SERRANO, CALLE, DE, 8
108;443111,6;4475416,83;41813;04  SALAMANCA;04-02 GOYA;MARTIRES CONCEPCIONISTAS, CALLE, DE LAS;2;BiciMAD;27;-3.670.653;404.274.425;MARTIRES CONCEPCIONISTAS, CALLE, DE LAS, 2
109;442191,64;4475721,98;41813;04  SALAMANCA;04-06 CASTELLANA;JOSE ORTEGA Y GASSET, CALLE, DE;32;BiciMAD;24;-36.815.253;404.301.281;JOSE ORTEGA Y GASSET, CALLE, DE, 32
110;438921,15;4476262,7;41813;09  MONCLOA-ARAVACA;09-01 CASA DE CAMPO;MORET, PASEO, DE;S/N;BiciMAD;24;-37.201.316;404.347.654;MORET, PASEO, DE, S/N
111 a;439144,16;4476128,65;41813;07  CHAMBERÍ;07-01 GAZTAMBIDE;ARCIPRESTE DE HITA, CALLE, DEL;8;BiciMAD;24;-37.174.896;404.335.742;ARCIPRESTE DE HITA, CALLE, DEL, 8
111 b;439120,04;4476174,12;41813;07  CHAMBERÍ;07-01 GAZTAMBIDE;ARCIPRESTE DE HITA, CALLE, DEL;12;BiciMAD;24;-37.177.783;40.433.982;ARCIPRESTE DE HITA, CALLE, DEL, 12
112;438517,07;4476028,6;41813;09  MONCLOA-ARAVACA;09-02 ARGÜELLES;MORET, PASEO, DE;11;BiciMAD;24;-37.248.727;404.326.267;MORET, PASEO, DE, 11
113;438865,35;4475484,09;41813;09  MONCLOA-ARAVACA;09-01 CASA DE CAMPO;PINTOR ROSALES, PASEO, DEL;frente 38;BiciMAD;24;-37.207.145;404.277.472;PINTOR ROSALES, PASEO, DEL, frente 38
114;439145,29;4475490,01;41813;09  MONCLOA-ARAVACA;09-02 ARGÜELLES;QUINTANA, CALLE, DE;13;BiciMAD;24;-37.174.151;404.278.211;QUINTANA, CALLE, DE, 13
115;439181,48;4475218,76;41813;09  MONCLOA-ARAVACA;09-02 ARGÜELLES;MARQUES DE CERRALBO, PLAZA, DEL;S/N;BiciMAD;24;-37.169.626;404.253.802;MARQUES DE CERRALBO, PLAZA, DEL, S/N
116 a;439621,73;4475069;41813;09  MONCLOA-ARAVACA;09-02 ARGÜELLES;ESPAÑA, PLAZA, DE;S/N;BiciMAD;24;-37.117.588;404.240.632;ESPAÑA, PLAZA, DE, S/N
116 b;439614,47;4475083,02;41813;09  MONCLOA-ARAVACA;09-02 ARGÜELLES;ESPAÑA, PLAZA, DE;S/N;BiciMAD;24;-37.118.457;404.241.889;ESPAÑA, PLAZA, DE, S/N
117;439020,83;4475833,31;41816;09  MONCLOA-ARAVACA;09-02 ARGÜELLES;ALTAMIRANO, CALLE, DE;24;BiciMAD;24;-37.189.152;404.309.046;ALTAMIRANO, CALLE, DE, 24
118;441605,64;4472470,47;41813;02  ARGANZUELA;02-06 PALOS DE MOGUER;JUAN MARTIN EL EMPECINADO, CALLE, DE;16;BiciMAD;24;-3.688.135;404.007.959;JUAN MARTIN EL EMPECINADO, CALLE, DE, 16
