StationNumber,GisID,Gis_X,Gis_Y,AddressID,DistrictCode,DistrictName,NeighborhoodCode,NeighborhoodName,Address,Capacity,CoordinatesID,Longitude,Latitude
89,89,"442728,15","4475399,8",89,4,SALAMANCA,42,GOYA,-CALLEDE-AYALA-102,24,89,-3.6751716,40.4272628
90,90,"442000,33","4475163,96",90,4,SALAMANCA,41,RECOLETOS,-CALLEDE-GOYA-18,24,90,-3.6837297,40.4250878
090ampliacion,090ampliacion,"442014,61","4475162,88",090ampliacion,4,SALAMANCA,41,RECOLETOS,-CALLEDE-GOYA-20,6,090ampliacion,-3.6835613,40.4250791
91,91,"442417,66","4475274,35",91,4,SALAMANCA,42,GOYA,-CALLEDE-HERMOSILLA-73,24,91,-3.6788203,40.4261113
92,92,"441767,83","4475291,85",92,4,SALAMANCA,41,RECOLETOS,-CALLEDE-CLAUDIO-COELLO-45,24,92,-3.6864821,40.4262237
93,93,"441518,8","4475235,48",93,4,SALAMANCA,41,RECOLETOS,-CALLEDE-GOYA-3,24,93,-3.6894124,40.4256984
94,94,"441407,18","4474977,73",94,4,SALAMANCA,41,RECOLETOS,-PASEODE-RECOLETOS-22,21,94,-3.6907044,40.4233686
95,95,"441721,55",4474897,95,4,SALAMANCA,41,RECOLETOS,-CALLEDE-CLAUDIO-COELLO-19,24,95,-3.6869914,40.4226634
96,96,"442140,46","4474825,84",96,4,SALAMANCA,41,RECOLETOS,-CALLEDE-ALCALA-111,27,96,-3.6820471,40.4220516
97,97,"442301,64","4474872,66",97,4,SALAMANCA,42,GOYA,-AVENIDADE-MENENDEZ-PELAYO-1,27,97,-3.6801515,40.4224846
98,98,"442705,5","4475058,99",98,4,SALAMANCA,42,GOYA,-AVENIDADE-FELIPE-II-5,24,98,-3.6754079,40.4241911
99,99,"442829,62","4475270,48",99,4,SALAMANCA,42,GOYA,-CALLEDE-ALCANTARA-2,24,99,-3.6739638,40.4261048
100,100,"442835,81","4475123,85",100,4,SALAMANCA,42,GOYA,-CALLEDE-GOYA-99,24,100,-3.6738777,40.4247843
101,101,"443212,16","4474936,49",101,4,SALAMANCA,42,GOYA,-CALLEDE-JORGE-JUAN-131,24,101,-3.6694246,40.4231223
102,102,"441967,18","4474727,67",102,4,SALAMANCA,41,RECOLETOS,-CALLEDE-ALCALA-95,24,102,-3.6840806,40.4211552
103,103,"441766,91","4475752,49",103,4,SALAMANCA,46,CASTELLANA,-CALLEDE-JOSE-ORTEGA-Y-GASSET-4,24,103,-3.6865351,40.4303733
104,104,"441505,58","4475354,07",104,4,SALAMANCA,41,RECOLETOS,-PASEODE-LA-CASTELLANA-4,21,104,-3.6895792,40.4267658
105,105,"441684,37","4475386,27",105,4,SALAMANCA,41,RECOLETOS,-CALLEDE-SERRANO-46,24,105,-3.6874745,40.4270684
106a,106a,"441647,49","4475141,87",106a,4,SALAMANCA,41,RECOLETOS,-CALLEDE-SERRANO-32,18,106a,-3.6878868,40.4248642
106b,106b,"441649,86","4475157,87",106b,4,SALAMANCA,41,RECOLETOS,-CALLEDE-SERRANO-34,18,106b,-3.6878604,40.4250085
107,107,"441599,07","4474779,37",107,4,SALAMANCA,41,RECOLETOS,-CALLEDE-SERRANO-8,24,107,-3.6884243,40.4215952
108,108,"443111,6","4475416,83",108,4,SALAMANCA,42,GOYA,-CALLEDE-LAS-MARTIRES-CONCEPCIONISTAS-2,27,108,-3.670653,40.4274425
109,109,"442191,64","4475721,98",109,4,SALAMANCA,46,CASTELLANA,-CALLEDE-JOSE-ORTEGA-Y-GASSET-32,24,109,-3.6815253,40.4301281
110,110,"438921,15","4476262,7",110,9,MONCLOA-ARAVACA,91,CASA-DE-CAMPO,-PASEODE-MORET-,24,110,-3.7201316,40.4347654
111a,111a,"439144,16","4476128,65",111a,7,CHAMBERÍ,71,GAZTAMBIDE,-CALLEDEL-ARCIPRESTE-DE-HITA-8,24,111a,-3.7174896,40.4335742
111b,111b,"439120,04","4476174,12",111b,7,CHAMBERÍ,71,GAZTAMBIDE,-CALLEDEL-ARCIPRESTE-DE-HITA-12,24,111b,-3.7177783,40.433982
112,112,"438517,07","4476028,6",112,9,MONCLOA-ARAVACA,92,ARGÜELLES,-PASEODE-MORET-11,24,112,-3.7248727,40.4326267
113,113,"438865,35","4475484,09",113,9,MONCLOA-ARAVACA,91,CASA-DE-CAMPO,-PASEODEL-PINTOR-ROSALES-38,24,113,-3.7207145,40.4277472
114,114,"439145,29","4475490,01",114,9,MONCLOA-ARAVACA,92,ARGÜELLES,-CALLEDE-QUINTANA-13,24,114,-3.7174151,40.4278211
115,115,"439181,48","4475218,76",115,9,MONCLOA-ARAVACA,92,ARGÜELLES,-PLAZADEL-MARQUES-DE-CERRALBO-,24,115,-3.7169626,40.4253802
116a,116a,"439621,73",4475069,116a,9,MONCLOA-ARAVACA,92,ARGÜELLES,-PLAZADE-ESPAÑA-,24,116a,-3.7117588,40.4240632
116b,116b,"439614,47","4475083,02",116b,9,MONCLOA-ARAVACA,92,ARGÜELLES,-PLAZADE-ESPAÑA-,24,116b,-3.7118457,40.4241889
117,117,"439020,83","4475833,31",117,9,MONCLOA-ARAVACA,92,ARGÜELLES,-CALLEDE-ALTAMIRANO-24,24,117,-3.7189152,40.4309046
118,118,"441605,64","4472470,47",118,2,ARGANZUELA,26,PALOS-DE-MOGUER,-CALLEDE-JUAN-MARTIN-EL-EMPECINADO-16,24,118,-3.688135,40.4007959
119,119,"441738,36","4472542,79",119,2,ARGANZUELA,27,ATOCHA,-CALLEDE-MENDEZ-ALVARO-7,24,119,-3.6865777,40.4014567
120,120,"441043,78","4472723,55",120,2,ARGANZUELA,26,PALOS-DE-MOGUER,-CALLEDE-PALOS-DE-LA-FRONTERA-27,24,120,-3.6947791,40.4030362
121,121,"440718,1","4472592,85",121,2,ARGANZUELA,26,PALOS-DE-MOGUER,-PASEODE-SANTA-MARIA-DE-LA-CABEZA-58,24,121,-3.6986046,40.4018356
122,122,"440941,06","4475664,68",122,7,CHAMBERÍ,74,ALMAGRO,-CALLEDE-SANTA-ENGRACIA-16,24,122,-3.6962626,40.429524
123,123,"439482,59","4475800,04",123,7,CHAMBERÍ,71,GAZTAMBIDE,-CALLEDE-GUZMAN-EL-BUENO-2,24,123,-3.7134685,40.4306386
124,124,"440683,01","4475810,28",124,7,CHAMBERÍ,73,TRAFALGAR,-CALLEDE-MANUEL-SILVELA-18,24,124,-3.6993182,40.4308173
125,125,"441067,49","4476306,28",125,7,CHAMBERÍ,74,ALMAGRO,-CALLEDE-FERNANDEZ-DE-LA-HOZ-29,24,125,-3.6948316,40.4353128
126,126,"440480,69","4476228,15",126,7,CHAMBERÍ,73,TRAFALGAR,-CALLEDEL-GENERAL-ALVAREZ-DE-CASTRO-4,24,126,-3.7017424,40.4345672
127,127,"439915,53","4476159,21",127,7,CHAMBERÍ,72,ARAPILES,-CALLEDE-FERNANDO-EL-CATOLICO-19,24,127,-3.7083987,40.4339055
128,128,"439313,53","4476733,24",128,7,CHAMBERÍ,71,GAZTAMBIDE,-CALLEDE-CEA-BERMUDEZ-59,24,128,-3.7155506,40.4390329
128ampliacion,128ampliacion,"439301,59","4476734,02",128ampliacion,7,CHAMBERÍ,71,GAZTAMBIDE,-CALLEDE-CEA-BERMUDEZ-59,3,128ampliacion,-3.7156915,40.4390391
129,129,"440777,63","4476658,85",129,7,CHAMBERÍ,75,RÍOS-ROSAS-,-CALLEDE-JOSE-ABASCAL-33,24,129,-3.6982818,40.4384684
130,130,"440489,99","4477022,03",130,7,CHAMBERÍ,75,RÍOS-ROSAS-,-CALLEDE-SANTA-ENGRACIA-129,20,130,-3.7017071,40.4417195
131,131,"440293,7","4477027,45",131,7,CHAMBERÍ,75,RÍOS-ROSAS-,-CALLEDE-BRAVO-MURILLO-44,24,131,-3.704022,40.4417543
132,132,"440334,34","4477541,61",132,7,CHAMBERÍ,75,RÍOS-ROSAS-,-CALLEDE-SANTA-ENGRACIA-168,24,132,-3.7035911,40.4463889
133,133,"440637,08","4477625,61",133,6,TETUÁN,62,CUATRO-CAMINOS-,-CALLEDE-DULCINEA-3,24,133,-3.7000292,40.4471673
134,134,"441017,45","4477274,01",134,7,CHAMBERÍ,75,RÍOS-ROSAS-,-CALLEDE-MARIA-DE-GUZMAN-58,24,134,-3.6955114,40.444027
135,135,"441237,54","4476990,04",135,7,CHAMBERÍ,75,RÍOS-ROSAS-,-PLAZADE-SAN-JUAN-DE-LA-CRUZ-,24,135,-3.6928901,40.4414845
136,136,"441417,02","4477410,33",136,5,CHAMARTÍN,51,EL-VISO-,-PASEODE-LA-CASTELLANA-106,24,136,-3.6908127,40.4452833
137,137,"441885,33","4477430,27",137,5,CHAMARTÍN,51,EL-VISO-,-PLAZADE-LA-REPUBLICA-ARGENTINA-6,24,137,-3.6852925,40.4454958
138,138,"441352,15","4477455,81",138,7,CHAMBERÍ,75,RÍOS-ROSAS-,-PASEODE-LA-CASTELLANA-108,24,138,-3.6915818,40.4456884
139,139,"441442,67","4476752,13",139,5,CHAMARTÍN,51,EL-VISO-,-CALLEDE-JOSE-GUTIERREZ-ABASCAL-,24,139,-3.6904495,40.4393558
140,140,"442081,95","4476666,37",140,5,CHAMARTÍN,51,EL-VISO-,-CALLEDE-VELAZQUEZ-134,24,140,-3.6829045,40.438628
140ampliación,140ampliación,"442081,16","4476654,37",140ampliación,5,CHAMARTÍN,51,EL-VISO-,-CALLEDE-VELAZQUEZ-134,3,140ampliación,-3.6829127,40.4385198
141,141,"441537,59","4476315,08",141,7,CHAMBERÍ,74,ALMAGRO,-PASEODE-LA-CASTELLANA-43,12,141,-3.6892902,40.4354253
142,142,"441641,97","4476103,45",142,4,SALAMANCA,46,CASTELLANA,-PASEODE-LA-CASTELLANA-,24,142,-3.6880402,40.4335262
143,143,"442474,52","4476217,99",143,4,SALAMANCA,45,LISTA,-CALLEDE-DIEGO-DE-LEON-54,24,143,-3.6782355,40.434616
144,144,"442707,74","4475961,24",144,4,SALAMANCA,45,LISTA,-CALLEDE-JUAN-BRAVO-50,24,144,-3.6754628,40.4323192
