Identifier,Description,DistrictCode,DistrictName,same_as_wikidata_distrito,NeighborhoodCode,NeighborhoodName,same_as_wikidata_barrio,OperativeStatus,Address,same_as_wikidata_calle,Housenumber
170579,SITUADO-APARCABICICLETAS-COLEGIO-PUBLICO-MIGUEL-DE-UNAMUNO,2,Arganzuela,https://wikidata.org/entity/Q2000929,25,Las Delicias,https://wikidata.org/entity/Q3773736,OPERATIVO,"CALLE ALICANTE,7",,7
172923,SITUADO-APARCABICICLETAS-EN-EL-PARQUE,2,Arganzuela,https://wikidata.org/entity/Q2000929,25,Las Delicias,https://wikidata.org/entity/Q3773736,OPERATIVO,"CALLE RAMIREZ DE PRADO,6",,6
172981,SITUADO-APARCABICICLETAS-CERCA-ESTACION-DE-METRO-PLAZA-DE-CASTILLA,5,Chamartín,https://wikidata.org/entity/Q1766348,55,Nueva España,https://wikidata.org/entity/Q10338128,OPERATIVO,plaza de Castilla,https://wikidata.org/entity/Q786291,9
173321,SITUADO-APARCABICICLETAS-CENTRO-DEPORTIVO-MUNICIPAL-PEÑUELAS,2,Arganzuela,https://wikidata.org/entity/Q2000929,22,Las Acacias,https://wikidata.org/entity/Q3319190,OPERATIVO,"CALLE ARGANDA,42",,42
173548,SITUADO-APARCABICICLETAS-COLEGIO-PUBLICO-ARQUITECTO-GAUDI,5,Chamartín,https://wikidata.org/entity/Q1766348,55,Nueva España,https://wikidata.org/entity/Q10338128,OPERATIVO,"CALLE ROSA JARDON,6",,6
173555,SITUADO-APARCABICICLETAS-ARCHIVO-REGIONAL-DE-LA-COMUNIDAD-DE-MADRID,2,Arganzuela,https://wikidata.org/entity/Q2000929,25,Las Delicias,https://wikidata.org/entity/Q3773736,OPERATIVO,"Calle del General Lacy, Madrid",https://wikidata.org/entity/Q27243347,25
173669,SITUADO-APARCABICICLETAS-BIBLIOTECA-PUBLICA-MUNICIPAL-PIO-BAROJA,2,Arganzuela,https://wikidata.org/entity/Q2000929,22,Las Acacias,https://wikidata.org/entity/Q3319190,OPERATIVO,"CALLE ARGANDA,10C",,10C
173919,SITUADO-APARCABICICLETAS-ESTACION-DE-CERCANIAS-DELICIAS,2,Arganzuela,https://wikidata.org/entity/Q2000929,25,Las Delicias,https://wikidata.org/entity/Q3773736,OPERATIVO,"Paseo de las Delicias, Madrid",https://wikidata.org/entity/Q6065662,61A
173964,SITUADO-APARCABICICLETAS-AYUNTAMIENTO-DE-MADRID,2,Arganzuela,https://wikidata.org/entity/Q2000929,25,Las Delicias,https://wikidata.org/entity/Q3773736,OPERATIVO,calle de Vara de Rey,https://wikidata.org/entity/Q27430105,11
175086,SITUADO-APARCABICICLETAS-JUNTO-A-CARRIL-BICI,2,Arganzuela,https://wikidata.org/entity/Q2000929,26,Palos de Moguer,https://wikidata.org/entity/Q521009,OPERATIVO,"GLORIETA SANTA MARIA DE LA CABEZA,2",,2
175640,SITUADO-APARCABICICLETAS-ESCUELA-INFANTIL-EL-ALBA,2,Arganzuela,https://wikidata.org/entity/Q2000929,22,Las Acacias,https://wikidata.org/entity/Q3319190,OPERATIVO,Calle de Toledo,https://wikidata.org/entity/Q5740883,181
175788,SITUADO-APARCABICICLETAS-I.E.S.-GRAN-CAPITAN,2,Arganzuela,https://wikidata.org/entity/Q2000929,21,Imperial,https://wikidata.org/entity/Q3773740,OPERATIVO,"PASEO MELANCOLICOS,51",,51
176608,SITUADO-APARCABICICLETAS-POLIDEPORTIVO-MPAL-GALLUR,10,Latina,https://wikidata.org/entity/Q794954,101,Los Cármenes,https://wikidata.org/entity/Q10319792,OPERATIVO,"CALLE GALLUR,1",,1
176854,SITUADO-APARCABICICLETAS-POLIDEPORTIVO-GALLUR,10,Latina,https://wikidata.org/entity/Q794954,101,Los Cármenes,https://wikidata.org/entity/Q10319792,OPERATIVO,"CALLE GALLUR,2",,2
177370,SITUADO-APARCABICICLETAS-CENTRO-CULTURAL-SARA-MONTIEL,10,Latina,https://wikidata.org/entity/Q794954,105,Campamento,https://wikidata.org/entity/Q31169,OPERATIVO,"CARRETERA BOADILLA DEL MONTE,40",,40
